uri,date_added,main_artist,track_name,popularity
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-02-24,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,80
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-02-24,Quavo,Greatness,0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-02-24,Don Toliver,Private Landing (feat. Justin Bieber & Future),0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-24,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-02-24,Superstar Pride,PAINTING PICTURES,76
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-02-24,Lil Baby,Freestyle,80
spotify:track:2fpTRcMLt4aKlqULOwuXUP,2023-02-24,Yeat,Shmunk (feat. YoungBoy Never Broke Again),39
spotify:track:2ehLKvUsJq3EUAPpvT5GOM,2023-02-24,Lil Wayne,Kant Nobody (feat. DMX),36
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-02-24,Drake,Rich Flex,89
spotify:track:1iQxvF3AQ7Bs3RTBuXqZOA,2023-02-24,Key Glock,Dirt,51
spotify:track:5ObUmPrfvyC7IEOe3n8Z3J,2023-02-24,DDG,Way Too Petty,0
spotify:track:2Qr5PWUt8XycAAv338LicY,2023-02-24,Don Toliver,Go Down (feat. TisaKorean),0
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-02-24,Ghostluvme,Fact (feat. Lil Uzi Vert),74
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-02-24,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],82
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-02-24,Lil Baby,Forever (feat. Fridayy),72
spotify:track:6i5wxOzIv91jvGwi4gofGn,2023-02-24,G Herbo,Raining (feat. Yung Bleu & Murda Beatz),6
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-02-24,Polo G,No Time Wasted (feat. Future),72
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-02-24,Lil Uzi Vert,Just Wanna Rock,88
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-02-24,Coi Leray,Players,87
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-02-24,J. Cole,No Role Modelz,85
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-02-24,NLE Choppa,Slut Me Out,76
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-02-24,Ice Spice,In Ha Mood,80
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-02-24,Only The Family,Mad Max,75
spotify:track:0LHbGkO5BhmwzeDT8MDdpe,2023-02-24,EST Gee,Undefeated,6
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-02-24,NLE Choppa,23,69
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-02-24,Gucci Mane,King Snipe,72
spotify:track:5xsr3QA0kvK4VFADzbUhUt,2023-02-24,Finesse2tymes,Out of State,3
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-02-24,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),82
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-02-24,Peezy,2 Million Up,71
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-02-24,Lil Durk,Hanging With Wolves,71
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-02-24,Baby Tate,"Hey, Mickey!",82
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-02-24,Nas,"One Mic, One Gun",70
spotify:track:3084aAzars6DR26nCWO9Ep,2023-02-24,Moneybagg Yo,Quickie,72
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-02-24,Polo G,My All,73
spotify:track:1CJ8e0zc8uvAmkqdeXrq4u,2023-02-24,Don Toliver,Leave The Club (feat. Lil Durk & GloRilla),67
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-02-24,SoFaygo,Hell Yeah,68
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-02-24,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],70
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-02-24,GloRilla,Internet Trolls,66
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-02-24,Young Dolph,Love For The Streets,66
spotify:track:53acd3PVcgGCux58YABBr5,2023-02-24,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),66
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-02-24,Lola Brooke,Don't Play With It (feat. Billy B),71
spotify:track:21wkixaulehrFctAvEhvQl,2023-02-24,Fast & Furious: The Fast Saga,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",65
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-02-24,Yeat,Out thë way,81
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-02-24,Latto,FTCU (feat. GloRilla & Gangsta Boo),64
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-02-24,DaBaby,JOC IN '06,66
spotify:track:7hrcHfHWaLhooHzGltlCYB,2023-02-24,DJ Drama,HO4ME,62
spotify:track:1hnNjI1da0xqGhR81JFVdx,2023-02-24,Lambo4oe,Self Esteem (featuring NLE Choppa),54
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-02-24,Trippie Redd,KNIGHT CRAWLER (feat. Juice WRLD),75
spotify:track:7E68rHH6CrKbBYPfpiCLiQ,2023-02-24,A Boogie Wit da Hoodie,No 808’s (feat. Vory),64
spotify:track:12Us8e6NFesdkXKf4StU1I,2023-02-24,Central Cee,Me & You,74
