uri,date_added,main_artist,track_name,popularity
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-02-18,Polo G,No Time Wasted (feat. Future),34
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-02-18,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,74
spotify:track:1CJ8e0zc8uvAmkqdeXrq4u,2023-02-18,Don Toliver,Leave The Club (feat. Lil Durk & GloRilla),0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-18,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-02-18,Lil Baby,Forever (feat. Fridayy),71
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-02-18,Drake,Rich Flex,89
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-02-18,Lil Uzi Vert,Just Wanna Rock,88
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-02-18,Lil Baby,Freestyle,80
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-02-18,NLE Choppa,Slut Me Out,74
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-02-18,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],82
spotify:track:7E68rHH6CrKbBYPfpiCLiQ,2023-02-18,A Boogie Wit da Hoodie,No 808’s (feat. Vory),53
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-02-18,Ghostluvme,Fact (feat. Lil Uzi Vert),72
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-02-18,Only The Family,Mad Max,75
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-02-18,J. Cole,No Role Modelz,85
spotify:track:7hrcHfHWaLhooHzGltlCYB,2023-02-18,DJ Drama,HO4ME,21
spotify:track:12Us8e6NFesdkXKf4StU1I,2023-02-18,Central Cee,Me & You,71
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-02-18,Gucci Mane,King Snipe,72
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-02-18,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),82
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-02-18,NLE Choppa,23,69
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-02-18,Lil Durk,Hanging With Wolves,71
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-02-18,SoFaygo,Hell Yeah,68
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2023-02-18,NLE Choppa,Do It Again (feat. 2Rare),77
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-02-18,Coi Leray,Players,86
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-02-18,Ice Spice,In Ha Mood,78
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2023-02-18,Drake,Pussy & Millions (feat. Travis Scott),81
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-02-18,Polo G,My All,73
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-02-18,Nas,"One Mic, One Gun",70
spotify:track:3084aAzars6DR26nCWO9Ep,2023-02-18,Moneybagg Yo,Quickie,72
spotify:track:1hnNjI1da0xqGhR81JFVdx,2023-02-18,Lambo4oe,Self Esteem (featuring NLE Choppa),36
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-02-18,Peezy,2 Million Up,70
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2023-02-18,Roddy Ricch,Twin (feat. Lil Durk),68
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-02-18,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],70
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-02-18,Trippie Redd,KNIGHT CRAWLER (feat. Juice WRLD),75
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-02-18,GloRilla,Internet Trolls,65
spotify:track:6DswwzQlABrNoqjNydtvuX,2023-02-18,Lil Tecca,Blessing,67
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2023-02-18,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),64
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-02-18,Young Dolph,Love For The Streets,66
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-02-18,Baby Tate,"Hey, Mickey!",82
spotify:track:5R5UNKWsmMPpFq5JHK93Fw,2023-02-18,Rae Sremmurd,Torpedo,67
spotify:track:53acd3PVcgGCux58YABBr5,2023-02-18,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),66
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-02-18,Lola Brooke,Don't Play With It (feat. Billy B),71
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2023-02-18,Young Dolph,Get Away,66
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-02-18,Central Cee,LET GO,88
spotify:track:21wkixaulehrFctAvEhvQl,2023-02-18,Fast & Furious: The Fast Saga,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",63
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-02-18,DaBaby,JOC IN '06,66
spotify:track:6clDsO8HwhHEgJDDp88VdL,2023-02-18,Cordae,Two Tens (feat. Anderson .Paak),74
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-02-18,Yeat,Out thë way,81
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-02-18,Latto,FTCU (feat. GloRilla & Gangsta Boo),64
spotify:track:46DB28jumopDyMuYhjoydV,2023-02-18,NAV,Lately,62
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,2023-02-18,TiaCorine,FreakyT,68
