uri,date_added,main_artist,track_name,popularity
spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,2023-07-21,Travis Scott,K-POP,0
spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,2023-07-21,Lil Uzi Vert,Flooded The Face,88
spotify:track:7LTCmtMpf3JPfBE8gAl64z,2023-07-21,Quavo,Turn Yo Clic Up (feat. Future),75
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,2023-07-21,Gunna,fukumean,95
spotify:track:5JYPXqMwYc0zTODQdjMEZN,2023-07-21,Ice Spice,Deli,0
spotify:track:7qLr3HMApUbyDkUvgIvHnB,2023-07-21,Young Thug,Oh U Went (feat. Drake),86
spotify:track:0B1xarnfKvUFWUoFdQnooq,2023-07-21,A$AP Rocky,RIOT (Rowdy Pipe'n),41
spotify:track:2Hc1LaV6bzFil3dE71eORA,2023-07-21,Lil Uzi Vert,Aye (feat. Travis Scott),85
spotify:track:7jVMNHk15YGRHRXYFoCXK8,2023-07-21,King Von,From The Hood,72
spotify:track:7cXlDCmulkI5UWLCtSjhRF,2023-07-21,Nas,Office Hours (feat. 50 Cent),0
spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,2023-07-21,Lil Tecca,500lbs,40
spotify:track:3OGCNLxpBmTYRxPZg2yDE5,2023-07-21,Gunna,back to the moon,82
spotify:track:4D351lWRiY19nYceG5g5ZZ,2023-07-21,Gucci Mane,Married with Millions,0
spotify:track:6dNOefmb6Lgl5vNtJsSajt,2023-07-21,Moneybagg Yo,Ocean Spray,80
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-07-21,Lil Durk,All My Life (feat. J. Cole),91
spotify:track:1kwPxt35W7cG3rryxR48PO,2023-07-21,That Mexican OT,Johnny Dang (with Paul Wall & DRODi),82
spotify:track:4EzkcqltSOxYE2lstuLOFs,2023-07-21,Toosii,Pull Up (feat. 21 Savage),81
spotify:track:1hS8xbWKEifaf0VuFpIY69,2023-07-21,Gucci Mane,Bluffin (feat. Lil Baby),80
spotify:track:3Owi7BjAeziHBYS0gLvHTQ,2023-07-21,Bas,Passport Bros (with J. Cole),58
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-07-21,Drake,Search & Rescue,90
spotify:track:23L1gQJjtlZMrZPZvluyQe,2023-07-21,Key Glock,Presidential Rolex,73
spotify:track:2FDTHlrBguDzQkp7PVj16Q,2023-07-21,Dave,Sprinter,97
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-07-21,Young Nudy,Peaches & Eggplants (feat. 21 Savage),81
spotify:track:6GoVUO5vla1JtUj2rq9Yl4,2023-07-21,Gunna,bread & butter,78
spotify:track:3bkpVSoNvBkvt9LJMFT5at,2023-07-21,Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),85
spotify:track:293QwzG48nRXlqk5lGDUbw,2023-07-21,Moneybagg Yo,Keep It Low (feat. Future),78
spotify:track:6c6WmIHcHlhccEwSFBhzNa,2023-07-21,Latto,Put It On Da Floor Again (feat. Cardi B),80
spotify:track:41s7nEKyANNfGaxRyMyFGI,2023-07-21,Coi Leray,No Angels (with Lola Brooke),72
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-07-21,Lil Baby,Go Hard,81
spotify:track:1xHcIJHIHwr2PUyTmFTWTy,2023-07-21,Lil Tjay,Bla Bla (feat. Fivio Foreign),76
spotify:track:6JXJgBcTfcuiPAd0416sOB,2023-07-21,42 Dugg,One Time,72
spotify:track:69ZBK01gsgWUnA55BEaAPu,2023-07-21,FendiDa Rappa,Point Me 2 (with Cardi B),78
spotify:track:4muwDurKeVOB1WBjTVRWlD,2023-07-21,Lil Durk,War Bout It (feat. 21 Savage),81
spotify:track:39MK3d3fonIP8Mz9oHCTBB,2023-07-21,Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",91
spotify:track:2YIIpDEKJv6OUc7u9tVT7I,2023-07-21,Joyner Lucas,Cut U Off,77
