uri,date_added,main_artist,track_name,popularity
spotify:track:7qAwnjc2qPbpK1gB4VRwXW,2023-03-24,Internet Money,I Remember (feat. Roddy Ricch & Kodak Black),20
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-03-24,Don Toliver,Private Landing (feat. Justin Bieber & Future),82
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-03-24,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,88
spotify:track:39uEuUEWsAZtozSQRPlf62,2023-03-24,BIA,I'M THAT BITCH,23
spotify:track:2NV0mpU5YbyJXydzYPgw5O,2023-03-24,NLE Choppa,AIN'T GONNA ANSWER,27
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-03-24,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],89
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-03-24,Superstar Pride,PAINTING PICTURES,85
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-03-24,Drake,Spin Bout U,82
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-03-24,Lil Baby,Freestyle,83
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-03-24,Quavo,Greatness,75
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-03-24,J. Cole,No Role Modelz,88
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-03-24,Metro Boomin,Trance (with Travis Scott & Young Thug),86
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-03-24,Lil Baby,Forever (feat. Fridayy),76
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,2023-03-24,TiaCorine,FreakyT,69
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-03-24,Drake,Rich Flex,90
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-03-24,Lil Uzi Vert,Just Wanna Rock,90
spotify:track:7r6uppLBApzJPMpDmdFoi4,2023-03-24,Baby Tate,"Hey, Mickey!",0
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-03-24,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],83
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-03-24,Ghostluvme,Fact (feat. Lil Uzi Vert),76
spotify:track:1cdqNRXIRrvT4HnApj6yw6,2023-03-24,Destroy Lonely,if looks could kill,76
spotify:track:1iQxvF3AQ7Bs3RTBuXqZOA,2023-03-24,Key Glock,Dirt,67
spotify:track:6TMwCGsTOlt796wpmiFIt7,2023-03-24,Larry June,"Palisades, CA",51
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-03-24,Ice Spice,In Ha Mood,85
spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,2023-03-24,Nicki Minaj,Red Ruby Da Sleeze,83
spotify:track:2ehLKvUsJq3EUAPpvT5GOM,2023-03-24,Lil Wayne,Kant Nobody (feat. DMX),73
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-03-24,Polo G,No Time Wasted (feat. Future),76
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-03-24,NLE Choppa,SLUT ME OUT,80
spotify:track:6w9GrSUaQQIaMBYtabge7p,2023-03-24,Don Toliver,Embarrassed (feat. Travis Scott),76
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-03-24,Coi Leray,Players,91
spotify:track:7M3h8JeDhIQIsdQdMrWohi,2023-03-24,GloRilla,Ex’s (Phatnall Remix) (with Lil Durk),62
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-03-24,Gucci Mane,King Snipe,73
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-03-24,Only The Family,Mad Max,75
spotify:track:2Qr5PWUt8XycAAv338LicY,2023-03-24,Don Toliver,Go Down (feat. TisaKorean),71
spotify:track:2g9dhCaJiK7D0FOgZ9vJlR,2023-03-24,Big Boss Vette,Pretty Girls Walk (with Coi Leray) - Remix,66
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-03-24,SoFaygo,Hell Yeah,69
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-03-24,NLE Choppa,23,70
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-03-24,Lil Durk,Hanging With Wolves,72
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-03-24,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],70
spotify:track:2fpTRcMLt4aKlqULOwuXUP,2023-03-24,Yeat,Shmunk (feat. YoungBoy Never Broke Again),74
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-03-24,Young Dolph,Love For The Streets,67
spotify:track:0sKJExQWRKxd76gSSwrsaI,2023-03-24,Fast & Furious: The Fast Saga,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",63
spotify:track:3084aAzars6DR26nCWO9Ep,2023-03-24,Moneybagg Yo,Quickie,72
spotify:track:7hrcHfHWaLhooHzGltlCYB,2023-03-24,DJ Drama,HO4ME,66
spotify:track:7E68rHH6CrKbBYPfpiCLiQ,2023-03-24,A Boogie Wit da Hoodie,No 808’s (feat. Vory),67
spotify:track:0LHbGkO5BhmwzeDT8MDdpe,2023-03-24,EST Gee,UNDEFEATED,64
spotify:track:12Us8e6NFesdkXKf4StU1I,2023-03-24,Central Cee,Me & You,76
spotify:track:5k3xP19vac82Kweo4mOvlw,2023-03-24,Blxst,Passionate (feat. Roddy Ricch),65
spotify:track:1SRw5p2lVAi7RGlHEmZg66,2023-03-24,Toosii,Favorite Song,80
spotify:track:2niJk9HZuWEBGPuR1aGYjy,2023-03-24,EST Gee,BALL LIKE ME TOO,60
spotify:track:3rWGgckX6iOjacBDMCaV97,2023-03-24,Lil Keed,All I Wanna Know,59
