uri,date_added,main_artist,track_name,popularity
spotify:track:2BJWxD8xKrDv8vneTvTIm9,2022-08-26,Lil Tjay,Beat the Odds,44
spotify:track:6pr7X9UZCDn8CruopaNVha,2022-08-26,DJ Khaled,BIG TIME (feat. Future & Lil Baby),0
spotify:track:1OdXwV1ZqMDuMKsPThVfSB,2022-08-26,Quavo,Big Stunna (feat. Birdman),0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-08-26,Offset,CODE (feat. Moneybagg Yo),0
spotify:track:51tMT5eSEaUo40GcSjTZZt,2022-08-26,NAV,Wrong Decisions,59
spotify:track:2TSfStvlAMLw89u3tali79,2022-08-26,Nardo Wick,Dah Dah DahDah,79
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-08-26,Drake,Jimmy Cooks (feat. 21 Savage),91
spotify:track:6I5DkMtgMjN6k270nRwNEl,2022-08-26,DaBaby,WAITRESS,71
spotify:track:67QVeMvttYHbB1Zuvh0cn6,2022-08-26,DJ Khaled,LET'S PRAY (feat. Don Toliver & Travis Scott),0
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-08-26,Key Glock,From Nothing,66
spotify:track:6x3gud5JkOSGYJpRUYN1Gg,2022-08-26,Quavo,Us vs. Them (feat. Gucci Mane),74
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-08-26,NAV,Never Sleep (with Lil Baby feat. Travis Scott),82
spotify:track:0iPb0dxCtjFcmFa2ElfBJ5,2022-08-26,Offset,54321,70
spotify:track:1YWE7cMqo4iVNdPTpH4Khj,2022-08-26,Future,712PM,72
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-08-26,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),87
spotify:track:4RTPe8icsISnFUp3IvEX4j,2022-08-26,DDG,If I Want You,0
spotify:track:2mzlyJ8Gb8cFMJvfENKnJQ,2022-08-26,Lil Tecca,Treesha,0
spotify:track:0QNNd0qMCDbraS1nQPg3aA,2022-08-26,Quavo,HOTEL LOBBY (Unc & Phew),81
spotify:track:1oc92BMKYkNxK17C2GtyRM,2022-08-26,Polo G,Distraction,79
spotify:track:6HW0HSK7j7FHeFlxqNdKR4,2022-08-26,Kodak Black,Haitian Scarface,69
spotify:track:02Cj2MSlERvamTj5A7Zi0P,2022-08-26,YoungBoy Never Broke Again,Vette Motors,75
spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,2022-08-26,Roddy Ricch,Real Talk,75
spotify:track:1fz22sUZlpL9jZOWz02wws,2022-08-26,Lil Durk,Hear It Back (feat. Moneybagg Yo),73
spotify:track:7N17JE5sPConOSeEIC5AnS,2022-08-26,Lil Uzi Vert,I KNOW,70
spotify:track:60pZpM5WjUBQvaQ5E37XW6,2022-08-26,JID,Bruddanem (feat. Lil Durk),32
spotify:track:5qgFgsrrxOjyPmX5YCuK2E,2022-08-26,Future,PUFFIN ON ZOOTIEZ,74
spotify:track:3uJFmluXzYedoJcvhpC1AW,2022-08-26,Cardi B,Hot Shit (feat. Ye & Lil Durk),80
spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,2022-08-26,SleazyWorld Go,Sleazy Flow (with Lil Baby) - Remix,78
spotify:track:6nrPRHGdz1ytpX2ZBZ4RGU,2022-08-26,Internet Money,Falsetto (feat. Lil Tecca),67
spotify:track:5gcsJvWzuPMeJBQYdiO0RS,2022-08-26,SleazyWorld Go,Step 1 (with Offset),73
spotify:track:30vAfL9Wyu2fu07vdbZ1Xt,2022-08-26,Moneybagg Yo,See Wat I’m Sayin,75
spotify:track:1NtyeXryylf8HWXnxVTD3v,2022-08-26,Rod Wave,Yungen (feat. Jack Harlow),75
spotify:track:5EeFkn825wcD3q2Tkk2vCu,2022-08-26,Gucci Mane,Dissin the Dead,68
spotify:track:3umPlMokEzAFxJO33tNdlY,2022-08-26,42 Dugg,IDGAF,66
spotify:track:6vA7RdHmU23h3ygUPPFXz5,2022-08-26,Megan Thee Stallion,Ungrateful (feat. Key Glock),72
spotify:track:6Bl1k7SZTP5gkfLPjkIwtx,2022-08-26,Yo Gotti,"Steppers (with Yo Gotti, Moneybagg Yo, 42 Dugg feat. EST Gee, Mozzy, Blac Youngsta, CMG The Label)",68
spotify:track:1QPreu0BNOrUfEb8HTd2qG,2022-08-26,Kendrick Lamar,Rich Spirit,79
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-08-26,Young Dolph,Hall of Fame,71
spotify:track:60PTOzcoFycWBICdumIsFQ,2022-08-26,Lil Uzi Vert,FOR FUN,74
spotify:track:4C6Uex2ILwJi9sZXRdmqXp,2022-08-26,Nicki Minaj,Super Freaky Girl,88
spotify:track:7rQ84WsT2Wcnrz5gTmbGmw,2022-08-26,Trippie Redd,Big 14 (feat. Offset & Moneybagg Yo),75
spotify:track:6JbrcjoMVBBNZllVOiHBcU,2022-08-26,Lil Durk,Burglars & Murderers (feat. EST Gee),68
spotify:track:0b7UwotRCrS7qBoLDjfvSY,2022-08-26,Lil Baby,U-Digg (feat. 42 Dugg & Veeze),73
spotify:track:3LtpKP5abr2qqjunvjlX5i,2022-08-26,Central Cee,Doja,92
spotify:track:1vrFJDrysqmsNAgyjBzx4f,2022-08-26,Hitkidd,F.N.F. (Let's Go),73
spotify:track:5QvW5lK6mkfTegpAK9JOO7,2022-08-26,Fivio Foreign,Paris to Tokyo,76
spotify:track:5ie5OPdaP9fivYaKcjwKF1,2022-08-26,Rod Wave,Alone,73
spotify:track:06JvOZ39sK8D8SqiqfaxDU,2022-08-26,Kanye West,True Love,82
spotify:track:5HN3ikspb1MOyJ0MMjn55I,2022-08-26,Southside,Save Me (feat. Lil Durk),68
spotify:track:0oPpchtgx4hZ2J246g5mqn,2022-08-26,YoungBoy Never Broke Again,Home Ain't Home (feat. Rod Wave),71
