uri,date_added,main_artist,track_name,popularity
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2022-11-11,Drake,Rich Flex,91
spotify:track:4FyesJzVpA39hbYvcseO2d,2022-11-11,Lil Uzi Vert,Just Wanna Rock,86
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-11-11,Lil Baby,California Breeze,82
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-11-11,Central Cee,One Up,77
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-11-11,Quavo,To The Bone (feat. YoungBoy Never Broke Again),78
spotify:track:46s57QULU02Voy0Kup6UEb,2022-11-11,Drake,Major Distribution,89
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2022-11-11,Juice WRLD,In My Head,83
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2022-11-11,Rod Wave,Break My Heart,52
spotify:track:3y3NwQPQAjKCunRz2eKggA,2022-11-11,Kodak Black,300 Blackout,72
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-11-11,Roddy Ricch,Stop Breathing,78
spotify:track:6ja11GoXgF75QkEVqqAadn,2022-11-11,Trippie Redd,Ain’t Safe (feat. Don Toliver),74
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-11-11,Quavo,Chocolate (feat. Young Thug and Gunna),73
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-11-11,Lil Baby,Not Finished,79
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-11-11,Nardo Wick,G Nikes (feat. Polo G),73
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-11-11,GloRilla,Tomorrow 2 (with Cardi B),81
spotify:track:46GyY53xkfMRYTqZAQ33ne,2022-11-11,Money Man,Similar,65
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2022-11-11,NLE Choppa,Do It Again (feat. 2Rare),76
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-11-11,A Boogie Wit da Hoodie,Take Shots (feat. Tory Lanez),72
spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,2022-11-11,Lil Tjay,Give You What You Want,37
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2022-11-11,Drake,Pussy & Millions (feat. Travis Scott),89
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-11-11,Russ,BET,71
spotify:track:4OkFBMU18NidtaefaTjUq1,2022-11-11,Lil Baby,Real Spill,78
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-11-11,Ty Dolla $ign,My Friends (feat. Lil Durk),74
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-11-11,EST Gee,Shoot It Myself (feat. Future),71
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-11-11,Moneybagg Yo,Blow,74
spotify:track:1KaRuTOGchQyTnrY3vWzfR,2022-11-11,Roddy Ricch,Aston Martin Truck,76
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-11-11,Kodak Black,I’m So Awesome,70
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-11-11,Quavo,Nothing Changed,74
spotify:track:1oqXQ2ghTORGDAkeLwkIDD,2022-11-11,Gucci Mane,Gucci Flow,66
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-11-11,Roddy Ricch,Ghetto Superstar (feat. G Herbo & Doe Boy),72
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-11-11,DDG,Bulletproof Maybach (feat. Offset),70
spotify:track:6XO8RlYuJCiI0v3IA48FeJ,2022-11-11,Marshmello,Bye Bye,84
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-11-11,G Herbo,Shordie (with Gunna),68
spotify:track:23pGZ6n6Xd3yV7qK4xw7dx,2022-11-11,A Boogie Wit da Hoodie,B.R.O. (Better Ride Out) [feat. Roddy Ricch],74
spotify:track:1QrL8zd8MIrCiOPuj02dxC,2022-11-11,Finesse2tymes,Back End,67
spotify:track:2eWHHPZS4pb7mEMcow4bqT,2022-11-11,A Boogie Wit da Hoodie,Ballin,70
spotify:track:6Y95jrYOOWDkh7uO6PSDBT,2022-11-11,Polo G,Bag Talk,74
spotify:track:5h9dlUlCGZahkuaC3MShz3,2022-11-11,Latto,It's Givin,65
spotify:track:3wspfG772mi1c25JpnNOVP,2022-11-11,Kodak Black,Walk,75
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-11-11,Sleepy Hallow,2 Mins of Pain (feat. Alborosie),72
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-11-11,EST Gee,Backstage Passes (feat. Jack Harlow),74
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-11-11,Offset,CODE (feat. Moneybagg Yo),73
spotify:track:7pZeacKYnK4unCplCmI2qb,2022-11-11,Freddie Gibbs,Too Much (feat. Moneybagg Yo),68
spotify:track:4L1zI1GJxi0Qq38aSYmsS0,2022-11-11,King Combs,Can't Stop Won't Stop (feat. Kodak Black),71
spotify:track:1GXZk5WpfVSjFL6wEE2SnK,2022-11-11,Lakeyah,Mind Yo Business (feat. Latto),55
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,2022-11-11,Nicki Minaj,Super Freaky Girl,81
spotify:track:74loibzxXRL875X20kenvk,2022-11-11,Lil Yachty,Poland,85
spotify:track:5BvfdAtqZXGbR3Ub1Bejb6,2022-11-11,Baby Keem,bank account (with Lil Uzi Vert),73
spotify:track:0vbmYCIWENdYyJ36Q4CdSz,2022-11-11,Smino,90 Proof (with J. Cole),73
spotify:track:27ZZdyTSQWI7Cug2d2PkqV,2022-11-11,Armani White,BILLIE EILISH.,87
