uri,date_added,main_artist,track_name,popularity
spotify:track:4daEMLSZCgZ2Mt7gNm2SRa,2023-07-07,Lil Uzi Vert,Flooded The Face,86
spotify:track:7qLr3HMApUbyDkUvgIvHnB,2023-07-07,Young Thug,Oh U Went (feat. Drake),85
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,2023-07-07,Gunna,fukumean,91
spotify:track:0m9cSkuwYOCUWCf48IS5ds,2023-07-07,Lil Tjay,Project Walls (feat. YoungBoy Never Broke Again),0
spotify:track:1hS8xbWKEifaf0VuFpIY69,2023-07-07,Gucci Mane,Bluffin (feat. Lil Baby),80
spotify:track:2Hc1LaV6bzFil3dE71eORA,2023-07-07,Lil Uzi Vert,Aye (feat. Travis Scott),83
spotify:track:3bkpVSoNvBkvt9LJMFT5at,2023-07-07,Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),84
spotify:track:69ZBK01gsgWUnA55BEaAPu,2023-07-07,FendiDa Rappa,Point Me 2 (with Cardi B),0
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-07-07,Drake,Search & Rescue,91
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-07-07,Lil Durk,All My Life (feat. J. Cole),92
spotify:track:6dNOefmb6Lgl5vNtJsSajt,2023-07-07,Moneybagg Yo,Ocean Spray,79
spotify:track:2YIIpDEKJv6OUc7u9tVT7I,2023-07-07,Joyner Lucas,Cut U Off,76
spotify:track:3OGCNLxpBmTYRxPZg2yDE5,2023-07-07,Gunna,back to the moon,82
spotify:track:6aEy7UtgKz6T2oqAxezvur,2023-07-07,King Von,Heartless (feat. Tee Grizzley),0
spotify:track:6JXJgBcTfcuiPAd0416sOB,2023-07-07,42 Dugg,One Time,67
spotify:track:4EzkcqltSOxYE2lstuLOFs,2023-07-07,Toosii,Pull Up (feat. 21 Savage),81
spotify:track:2FDTHlrBguDzQkp7PVj16Q,2023-07-07,Dave,Sprinter,96
spotify:track:6c6WmIHcHlhccEwSFBhzNa,2023-07-07,Latto,Put It On Da Floor Again (feat. Cardi B),80
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-07-07,Young Nudy,Peaches & Eggplants (feat. 21 Savage),80
spotify:track:23L1gQJjtlZMrZPZvluyQe,2023-07-07,Key Glock,Presidential Rolex,72
spotify:track:0r75DNlHu4recmKUdZeMfG,2023-07-07,Young Thug,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",79
spotify:track:2uPyRKg62IcLFaGXXw0qEn,2023-07-07,Lil Tjay,June 22nd,78
spotify:track:1kwPxt35W7cG3rryxR48PO,2023-07-07,That Mexican OT,Johnny Dang (with Paul Wall & DRODi),81
spotify:track:39MK3d3fonIP8Mz9oHCTBB,2023-07-07,Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",92
spotify:track:41bmnQZoDMQdDh5zyomtW7,2023-07-07,Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),83
spotify:track:6GoVUO5vla1JtUj2rq9Yl4,2023-07-07,Gunna,bread & butter,80
spotify:track:293QwzG48nRXlqk5lGDUbw,2023-07-07,Moneybagg Yo,Keep It Low (feat. Future),77
spotify:track:4muwDurKeVOB1WBjTVRWlD,2023-07-07,Lil Durk,War Bout It (feat. 21 Savage),83
spotify:track:5rurggqwwudn9clMdcchxT,2023-07-07,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",94
spotify:track:4jQF77FelHaw2u1CB0sIfp,2023-07-07,DDG,I'm Geekin,80
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-07-07,Don Toliver,Private Landing (feat. Justin Bieber & Future),84
spotify:track:41s7nEKyANNfGaxRyMyFGI,2023-07-07,Coi Leray,No Angels (with Lola Brooke),71
spotify:track:741UUVE2kuITl0c6zuqqbO,2023-07-07,Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],88
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-07-07,Metro Boomin,Trance (with Travis Scott & Young Thug),92
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-07-07,Gucci Mane,06 Gucci (feat. DaBaby & 21 Savage),77
spotify:track:2Okh2n1EHlGhviAYv75MOB,2023-07-07,Young Thug,Cars Bring Me Out (feat. Future),78
spotify:track:11xC6P3iKYpFThT6Ce1KdG,2023-07-07,Doja Cat,Attention,89
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-07-07,Drake,Spin Bout U,86
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-07-07,Lil Baby,Go Hard,82
spotify:track:3VLsdzHOFM9pyn79QTjiGJ,2023-07-07,French Montana,I Can't Lie (with Kodak Black),74
spotify:track:2beD5W9IkefQ04IO39XF7w,2023-07-07,Yeat,My wrist (with Young Thug),79
spotify:track:7sliFe6W30tPBPh6dvZsIH,2023-07-07,Kaliii,Area Codes,91
spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,2023-07-07,Ice Spice,Princess Diana (with Nicki Minaj),88
spotify:track:3FhZPYvMGSjFc6boVYKlCv,2023-07-07,DaBaby,SHAKE SUMN,81
spotify:track:6rQ9mLqGGyqGqqMkUbZBhb,2023-07-07,King Von,Robberies,74
spotify:track:3iRCr53b2ZOvoKMTNvBn5d,2023-07-07,A Boogie Wit da Hoodie,MVP (feat. G-Eazy),76
spotify:track:2f9JzwRy6Ofr5ixvN0ojKt,2023-07-07,OHGEESY,GEEKALEEK (feat. Cash Kidd),75
spotify:track:2dSKFFNoNXKo3hPnlwUdPe,2023-07-07,Jack Harlow,They Don't Love It,81
spotify:track:6IEXjer2qbXhRLFv99NQQv,2023-07-07,Sexyy Red,Pound Town 2 (feat. Nicki Minaj & Tay Keith),77
spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,2023-07-07,Baby Keem,The Hillbillies,83
