uri,date_added,main_artist,track_name,popularity
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-03-10,Metro Boomin,Trance (with Travis Scott & Young Thug),81
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-03-10,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,85
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-03-10,Don Toliver,Private Landing (feat. Justin Bieber & Future),78
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-03-10,Lil Baby,Freestyle,82
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-03-10,Ice Spice,In Ha Mood,82
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-03-10,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-03-10,Quavo,Greatness,72
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-03-10,Drake,Spin Bout U,80
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-03-10,Lil Uzi Vert,Just Wanna Rock,89
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-03-10,Lil Baby,Forever (feat. Fridayy),74
spotify:track:17NiQhpGEQZUlTBqRKeKve,2023-03-10,Joyner Lucas,Devil's Work 2,26
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-03-10,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],82
spotify:track:5k3xP19vac82Kweo4mOvlw,2023-03-10,Blxst,Passionate (feat. Roddy Ricch),20
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-03-10,J. Cole,No Role Modelz,86
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-03-10,Drake,Rich Flex,89
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-03-10,Ghostluvme,Fact (feat. Lil Uzi Vert),75
spotify:track:2uFmD9x7WwzNe4P1eJ6t36,2023-03-10,NLE Choppa,MO UP FRONT,0
spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,2023-03-10,Nicki Minaj,Red Ruby Da Sleeze,77
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-03-10,Coi Leray,Players,89
spotify:track:6w9GrSUaQQIaMBYtabge7p,2023-03-10,Don Toliver,Embarrassed (feat. Travis Scott),72
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-03-10,Polo G,No Time Wasted (feat. Future),75
spotify:track:2ehLKvUsJq3EUAPpvT5GOM,2023-03-10,Lil Wayne,Kant Nobody (feat. DMX),70
spotify:track:1iQxvF3AQ7Bs3RTBuXqZOA,2023-03-10,Key Glock,Dirt,65
spotify:track:5ckaFWaVWVfIcPFYfofmzH,2023-03-10,Rae Sremmurd,Tanisha (Pump That),21
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-03-10,NLE Choppa,SLUT ME OUT,78
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-03-10,Gucci Mane,King Snipe,72
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-03-10,Only The Family,Mad Max,74
spotify:track:2Qr5PWUt8XycAAv338LicY,2023-03-10,Don Toliver,Go Down (feat. TisaKorean),69
spotify:track:2gSPHSdf0vrk2Psxmn8sUn,2023-03-10,Ken Carson,i need u,70
spotify:track:2g9dhCaJiK7D0FOgZ9vJlR,2023-03-10,Big Boss Vette,Pretty Girls Walk (with Coi Leray) - Remix,57
spotify:track:1RswhD0IRNMRqo1WDpNhtl,2023-03-10,BIA,SIXTEEN,60
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-03-10,SoFaygo,Hell Yeah,68
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-03-10,NLE Choppa,23,69
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-03-10,Lil Durk,Hanging With Wolves,71
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-03-10,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],70
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-03-10,Baby Tate,"Hey, Mickey!",83
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-03-10,GloRilla,Internet Trolls,66
spotify:track:2fpTRcMLt4aKlqULOwuXUP,2023-03-10,Yeat,Shmunk (feat. YoungBoy Never Broke Again),73
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-03-10,Young Dolph,Love For The Streets,66
spotify:track:0sKJExQWRKxd76gSSwrsaI,2023-03-10,Fast & Furious: The Fast Saga,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",58
spotify:track:3084aAzars6DR26nCWO9Ep,2023-03-10,Moneybagg Yo,Quickie,72
spotify:track:7hrcHfHWaLhooHzGltlCYB,2023-03-10,DJ Drama,HO4ME,65
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-03-10,DaBaby,JOC IN '06,66
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-03-10,Latto,FTCU (feat. GloRilla & Gangsta Boo),64
spotify:track:7E68rHH6CrKbBYPfpiCLiQ,2023-03-10,A Boogie Wit da Hoodie,No 808’s (feat. Vory),66
spotify:track:0LHbGkO5BhmwzeDT8MDdpe,2023-03-10,EST Gee,UNDEFEATED,61
spotify:track:6i5wxOzIv91jvGwi4gofGn,2023-03-10,G Herbo,Raining (feat. Yung Bleu & Murda Beatz),58
