uri,date_added,main_artist,track_name,popularity
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-06-09,Drake,Search & Rescue,91
spotify:track:39MK3d3fonIP8Mz9oHCTBB,2023-06-09,Metro Boomin,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",86
spotify:track:1k513qenEUjyU3MxMSUaPj,2023-06-09,Moneybagg Yo,Ocean Spray,76
spotify:track:4EzkcqltSOxYE2lstuLOFs,2023-06-09,Toosii,Pull Up (feat. 21 Savage),72
spotify:track:6GoVUO5vla1JtUj2rq9Yl4,2023-06-09,Gunna,bread & butter,77
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-06-09,Lil Durk,All My Life (feat. J. Cole),91
spotify:track:5rurggqwwudn9clMdcchxT,2023-06-09,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",86
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-06-09,Young Nudy,Peaches & Eggplants (feat. 21 Savage),76
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-06-09,Lil Baby,Go Hard,83
spotify:track:3qnznOzVFYuDWjidDAxEV4,2023-06-09,Tyga,West Coast Weekend,35
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-06-09,Don Toliver,Private Landing (feat. Justin Bieber & Future),84
spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,2023-06-09,Baby Keem,The Hillbillies,76
spotify:track:4muwDurKeVOB1WBjTVRWlD,2023-06-09,Lil Durk,War Bout It (feat. 21 Savage),84
spotify:track:78MA8xdZCe4KS9SuIxs1Ce,2023-06-09,Money Man,Drums,55
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-06-09,Metro Boomin,Trance (with Travis Scott & Young Thug),91
spotify:track:75ZoVrZ4mXEsDxv1bQbEAS,2023-06-09,Moneybagg Yo,Motion God,75
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-06-09,Gucci Mane,06 Gucci (feat. DaBaby & 21 Savage),77
spotify:track:2YIIpDEKJv6OUc7u9tVT7I,2023-06-09,Joyner Lucas,Cut U Off,34
spotify:track:4fbXBeVeqzZ0SmJQcWm4St,2023-06-09,Lil Durk,Never Imagined (feat. Future),81
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-06-09,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,89
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-06-09,Drake,Spin Bout U,85
spotify:track:2VjOTvl50tscmc0RDjPdr2,2023-06-09,Dave,UK Rap,77
spotify:track:6c6WmIHcHlhccEwSFBhzNa,2023-06-09,Latto,Put It On Da Floor Again (feat. Cardi B),73
spotify:track:2SOoJnfRWOEeme123rd0B3,2023-06-09,City Girls,I Need A Thug,37
spotify:track:3xOEfEmsrLwf9jcG4gErdA,2023-06-09,Gucci Mane,"Pissy (feat. Roddy Ricch, Nardo Wick)",76
spotify:track:3VLsdzHOFM9pyn79QTjiGJ,2023-06-09,French Montana,I Can't Lie (with Kodak Black),68
spotify:track:3iRCr53b2ZOvoKMTNvBn5d,2023-06-09,A Boogie Wit da Hoodie,MVP (feat. G-Eazy),77
