uri,date_added,main_artist,track_name,popularity
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-01-27,DaBaby,JOC IN '06,40
spotify:track:4vIBtcC2KzJY4Va98bvI8P,2023-01-27,Rae Sremmurd,Sucka Or Sum,21
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-01-27,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],90
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-01-27,Lil Baby,Freestyle,81
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-01-27,J. Cole,No Role Modelz,87
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-01-27,Drake,Rich Flex,92
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-01-27,Gucci Mane,King Snipe,73
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-01-27,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),85
spotify:track:2nLwnTorexhx3qKRY7zymH,2023-01-27,EST Gee,IF I STOP NOW,11
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-01-27,Trippie Redd,KNIGHT CRAWLER (feat. Juice WRLD),75
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-01-27,Only The Family,Mad Max,77
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-01-27,Lil Uzi Vert,Just Wanna Rock,89
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-01-27,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],85
spotify:track:6clDsO8HwhHEgJDDp88VdL,2023-01-27,Cordae,Two Tens (feat. Anderson .Paak),59
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-01-27,NLE Choppa,23,66
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-01-27,SoFaygo,Hell Yeah,71
spotify:track:31UEIDEnR72bsUiavstcof,2023-01-27,Russ,PUT YOU ON GAME,72
spotify:track:3084aAzars6DR26nCWO9Ep,2023-01-27,Moneybagg Yo,Quickie,75
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-01-27,Nas,"One Mic, One Gun",73
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-01-27,Lil Durk,Hanging With Wolves,75
spotify:track:53acd3PVcgGCux58YABBr5,2023-01-27,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),7
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-01-27,Ice Spice,In Ha Mood,73
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-01-27,Yeat,Out thë way,82
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-01-27,Coi Leray,Players,82
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-01-27,Polo G,My All,77
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2023-01-27,Drake,Pussy & Millions (feat. Travis Scott),84
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-01-27,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],74
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,2023-01-27,TiaCorine,FreakyT,69
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2023-01-27,Roddy Ricch,Twin (feat. Lil Durk),72
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-01-27,Peezy,2 Million Up,73
spotify:track:2q2HyvGHcDbIgHi9o5gpFQ,2023-01-27,Trippie Redd,DARK BROTHERHOOD (feat. Lil Baby),71
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2023-01-27,Young Dolph,Get Away,70
spotify:track:6DswwzQlABrNoqjNydtvuX,2023-01-27,Lil Tecca,Blessing,70
spotify:track:4OkFBMU18NidtaefaTjUq1,2023-01-27,Lil Baby,Real Spill,74
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2023-01-27,Key Glock,Jigsaw,67
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2023-01-27,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),67
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-01-27,Latto,FTCU (feat. GloRilla & Gangsta Boo),67
spotify:track:4r9GyHViUSb8iVXQsJc8U5,2023-01-27,French Montana,Chit Chat,65
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-01-27,Lola Brooke,Don't Play With It (feat. Billy B),72
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-01-27,Young Dolph,Love For The Streets,69
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-01-27,Central Cee,LET GO,91
spotify:track:4ZevD501qZiFK7FY8DFn0V,2023-01-27,Don Toliver,Do It Right,73
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2023-01-27,NLE Choppa,Do It Again (feat. 2Rare),79
spotify:track:5R5UNKWsmMPpFq5JHK93Fw,2023-01-27,Rae Sremmurd,Torpedo,70
spotify:track:7ppUTKvokd4vQ68TNAxuZk,2023-01-27,Eem Triplin,JUST FRIENDS ?,69
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2023-01-27,Rod Wave,Break My Heart,68
spotify:track:46GyY53xkfMRYTqZAQ33ne,2023-01-27,Money Man,Similar,65
spotify:track:7B09THlbQE2RndpgXeXQYE,2023-01-27,Gucci Mane,Letter to Takeoff,65
spotify:track:3jpZwYrDbX2lQMhHwXjyUD,2023-01-27,A$AP Rocky,Same Problems?,72
spotify:track:2Q2mcoXVkioh4OBcL8mm4p,2023-01-27,Moneybagg Yo,On Wat U On (with GloRilla),72
