uri,date_added,main_artist,track_name,popularity
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-09-30,Quavo,Nothing Changed,0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-09-30,Roddy Ricch,Stop Breathing,0
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-09-30,Kodak Black,I’m So Awesome,0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-09-30,Offset,CODE (feat. Moneybagg Yo),77
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-09-30,EST Gee,Backstage Passes (feat. Jack Harlow),75
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-09-30,Moneybagg Yo,Blow,69
spotify:track:7fSM2taFBEB1WNZl8AOIoo,2022-09-30,Lil Baby,Detox,80
spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,2022-09-30,DDG,9 Lives (feat. Polo G & NLE Choppa),0
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-09-30,Roddy Ricch,Ghetto Superstar (feat. G Herbo & Doe Boy),73
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-09-30,EST Gee,Shoot It Myself (feat. Future),59
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-09-30,Sleepy Hallow,2 Mins of Pain (feat. Alborosie),75
spotify:track:2TSfStvlAMLw89u3tali79,2022-09-30,Nardo Wick,Dah Dah DahDah,83
spotify:track:5sER6mjVIHvloVenvFbgT1,2022-09-30,Freddie Gibbs,Pain & Strife (feat. Offset),0
spotify:track:3wspfG772mi1c25JpnNOVP,2022-09-30,Kodak Black,Walk,73
spotify:track:1r3qUIDhMvoTct7cxPnbdN,2022-09-30,Kid Cudi,Can't Believe It (feat. 2 Chainz),0
spotify:track:1a019wP7IdYLexwbmfZPm3,2022-09-30,Yeat,Flawlëss (feat. Lil Uzi Vert),79
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-09-30,Key Glock,From Nothing,74
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-09-30,NAV,Never Sleep (with Lil Baby feat. Travis Scott),81
