uri,date_added,main_artist,track_name,popularity
spotify:track:2q2HyvGHcDbIgHi9o5gpFQ,2023-01-20,Trippie Redd,DARK BROTHERHOOD (feat. Lil Baby),0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-01-20,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],92
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-01-20,Drake,Rich Flex,96
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-01-20,Gucci Mane,King Snipe,73
spotify:track:3jpZwYrDbX2lQMhHwXjyUD,2023-01-20,A$AP Rocky,Same Problems?,67
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-01-20,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),88
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-01-20,Only The Family,Mad Max,81
spotify:track:45M6MPP3yI5I1PXse40lpR,2023-01-20,Trippie Redd,FULLY LOADED (feat. Future & Lil Baby),0
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-01-20,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],88
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-01-20,NLE Choppa,23,0
spotify:track:3084aAzars6DR26nCWO9Ep,2023-01-20,Moneybagg Yo,Quickie,78
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-01-20,Polo G,My All,81
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-01-20,Lil Uzi Vert,Just Wanna Rock,93
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-01-20,SoFaygo,Hell Yeah,74
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-01-20,Lil Durk,Hanging With Wolves,78
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-01-20,Trippie Redd,KNIGHT CRAWLER (feat. Juice WRLD),0
spotify:track:3lE8TCA1FKNQthjj73Sjrv,2023-01-20,Ice Spice,Gangsta Boo (with Lil Tjay),0
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2023-01-20,Quavo,To The Bone (feat. YoungBoy Never Broke Again),79
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2023-01-20,Drake,Pussy & Millions (feat. Travis Scott),87
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-01-20,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],77
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2023-01-20,Roddy Ricch,Twin (feat. Lil Durk),76
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-01-20,Peezy,2 Million Up,76
spotify:track:2Q2mcoXVkioh4OBcL8mm4p,2023-01-20,Moneybagg Yo,On Wat U On (with GloRilla),73
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-01-20,Coi Leray,Players,83
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2023-01-20,Young Dolph,Get Away,73
spotify:track:6DswwzQlABrNoqjNydtvuX,2023-01-20,Lil Tecca,Blessing,73
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-01-20,Nas,"One Mic, One Gun",76
spotify:track:4OkFBMU18NidtaefaTjUq1,2023-01-20,Lil Baby,Real Spill,78
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2023-01-20,Key Glock,Jigsaw,71
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2023-01-20,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),70
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-01-20,Yeat,Out thë way,85
spotify:track:4r9GyHViUSb8iVXQsJc8U5,2023-01-20,French Montana,Chit Chat,67
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-01-20,Lola Brooke,Don't Play With It (feat. Billy B),74
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-01-20,Young Dolph,Love For The Streets,73
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2023-01-20,Lil Baby,California Breeze,80
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-01-20,Central Cee,LET GO,94
spotify:track:4ZevD501qZiFK7FY8DFn0V,2023-01-20,Don Toliver,Do It Right,76
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2023-01-20,NLE Choppa,Do It Again (feat. 2Rare),83
spotify:track:5R5UNKWsmMPpFq5JHK93Fw,2023-01-20,Rae Sremmurd,Torpedo,74
spotify:track:7ppUTKvokd4vQ68TNAxuZk,2023-01-20,Eem Triplin,JUST FRIENDS ?,73
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2023-01-20,Rod Wave,Break My Heart,72
spotify:track:46GyY53xkfMRYTqZAQ33ne,2023-01-20,Money Man,Similar,69
spotify:track:46s57QULU02Voy0Kup6UEb,2023-01-20,Drake,Major Distribution,86
spotify:track:7B09THlbQE2RndpgXeXQYE,2023-01-20,Gucci Mane,Letter to Takeoff,69
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-01-20,Latto,FTCU (feat. GloRilla & Gangsta Boo),71
spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,2023-01-20,Lil Tjay,Give You What You Want,77
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2023-01-20,Juice WRLD,In My Head,83
spotify:track:42tD9J0KCPFSc1d2hFTvAf,2023-01-20,Destroy Lonely,NOSTYLIST,77
spotify:track:45k6Qexq0mavylcq1hNl4G,2023-01-20,YoungBoy Never Broke Again,Black,70
spotify:track:6PphODv2LB2b9BWK9lhWuY,2023-01-20,Hitkidd,Shabooya,73
