uri,date_added,main_artist,track_name,popularity
spotify:track:12Us8e6NFesdkXKf4StU1I,2023-02-10,Central Cee,Me & You,38
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-02-10,Ghostluvme,Fact (feat. Lil Uzi Vert),63
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-02-10,Lil Baby,Forever (feat. Fridayy),68
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-02-10,Lil Uzi Vert,Just Wanna Rock,88
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-10,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-02-10,Drake,Rich Flex,90
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-02-10,Lil Baby,Freestyle,80
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-02-10,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],82
spotify:track:21wkixaulehrFctAvEhvQl,2023-02-10,Fast & Furious: The Fast Saga,"Let's Ride (feat. YG, Ty Dolla $ign, Lambo4oe) - Trailer Anthem",23
spotify:track:46DB28jumopDyMuYhjoydV,2023-02-10,NAV,Lately,0
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-02-10,Only The Family,Mad Max,75
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-02-10,J. Cole,No Role Modelz,85
spotify:track:4Wlz0HsHZlJy0NDK2h6jq6,2023-02-10,Babyface Ray,Ron Artest,47
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-02-10,Gucci Mane,King Snipe,73
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-02-10,NLE Choppa,23,69
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-02-10,SoFaygo,Hell Yeah,68
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-02-10,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),82
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-02-10,Lil Durk,Hanging With Wolves,72
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-02-10,Coi Leray,Players,84
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2023-02-10,Drake,Pussy & Millions (feat. Travis Scott),81
spotify:track:2q2HyvGHcDbIgHi9o5gpFQ,2023-02-10,Trippie Redd,DARK BROTHERHOOD (feat. Lil Baby),70
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-02-10,Ice Spice,In Ha Mood,76
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-02-10,GloRilla,Internet Trolls,64
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2023-02-10,Young Dolph,Get Away,67
spotify:track:3084aAzars6DR26nCWO9Ep,2023-02-10,Moneybagg Yo,Quickie,72
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-02-10,Polo G,My All,74
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-02-10,Nas,"One Mic, One Gun",70
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-02-10,Baby Tate,"Hey, Mickey!",81
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2023-02-10,Roddy Ricch,Twin (feat. Lil Durk),69
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-02-10,Peezy,2 Million Up,71
spotify:track:4OkFBMU18NidtaefaTjUq1,2023-02-10,Lil Baby,Real Spill,72
spotify:track:6DswwzQlABrNoqjNydtvuX,2023-02-10,Lil Tecca,Blessing,67
spotify:track:53acd3PVcgGCux58YABBr5,2023-02-10,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),64
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2023-02-10,Key Glock,Jigsaw,65
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-02-10,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],70
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2023-02-10,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),65
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-02-10,Latto,FTCU (feat. GloRilla & Gangsta Boo),65
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-02-10,Young Dolph,Love For The Streets,66
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2023-02-10,NLE Choppa,Do It Again (feat. 2Rare),77
spotify:track:5R5UNKWsmMPpFq5JHK93Fw,2023-02-10,Rae Sremmurd,Torpedo,67
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,2023-02-10,TiaCorine,FreakyT,68
spotify:track:7ppUTKvokd4vQ68TNAxuZk,2023-02-10,Eem Triplin,JUST FRIENDS ?,67
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-02-10,Central Cee,LET GO,89
spotify:track:4ZevD501qZiFK7FY8DFn0V,2023-02-10,Don Toliver,Do It Right,70
spotify:track:7B09THlbQE2RndpgXeXQYE,2023-02-10,Gucci Mane,Letter to Takeoff,62
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-02-10,Lola Brooke,Don't Play With It (feat. Billy B),71
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-02-10,DaBaby,JOC IN '06,66
spotify:track:6clDsO8HwhHEgJDDp88VdL,2023-02-10,Cordae,Two Tens (feat. Anderson .Paak),73
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-02-10,Yeat,Out thë way,81
spotify:track:7ezboaARv4FY1k0WFoINWC,2023-02-10,NLE Choppa,Champions,65
