uri,date_added,main_artist,track_name,popularity
spotify:track:3lcfs9Qjfxzy00VSVkixDv,2023-06-30,Lil Uzi Vert,I Gotta,0
spotify:track:3bkpVSoNvBkvt9LJMFT5at,2023-06-30,Lyrical Lemonade,Doomsday (with Juice WRLD & Cordae),81
spotify:track:2uPyRKg62IcLFaGXXw0qEn,2023-06-30,Lil Tjay,June 22nd,75
spotify:track:1hS8xbWKEifaf0VuFpIY69,2023-06-30,Gucci Mane,Bluffin (feat. Lil Baby),78
spotify:track:4rXLjWdF2ZZpXCVTfWcshS,2023-06-30,Gunna,fukumean,88
spotify:track:0r75DNlHu4recmKUdZeMfG,2023-06-30,Young Thug,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)",78
spotify:track:41bmnQZoDMQdDh5zyomtW7,2023-06-30,Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),0
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-06-30,Drake,Search & Rescue,91
spotify:track:4EzkcqltSOxYE2lstuLOFs,2023-06-30,Toosii,Pull Up (feat. 21 Savage),81
spotify:track:6dNOefmb6Lgl5vNtJsSajt,2023-06-30,Moneybagg Yo,Ocean Spray,78
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-06-30,Lil Durk,All My Life (feat. J. Cole),92
spotify:track:0WCJSIy75ZVxqY51ce0enc,2023-06-30,Lil Uzi Vert,Pluto to Mars,0
spotify:track:3OGCNLxpBmTYRxPZg2yDE5,2023-06-30,Gunna,back to the moon,81
spotify:track:23L1gQJjtlZMrZPZvluyQe,2023-06-30,Key Glock,Presidential Rolex,70
spotify:track:7qLr3HMApUbyDkUvgIvHnB,2023-06-30,Young Thug,Oh U Went (feat. Drake),83
spotify:track:6JXJgBcTfcuiPAd0416sOB,2023-06-30,42 Dugg,One Time,23
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-06-30,Young Nudy,Peaches & Eggplants (feat. 21 Savage),80
spotify:track:5rurggqwwudn9clMdcchxT,2023-06-30,Metro Boomin,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",94
spotify:track:1kwPxt35W7cG3rryxR48PO,2023-06-30,That Mexican OT,Johnny Dang (with Paul Wall & DRODi),79
spotify:track:293QwzG48nRXlqk5lGDUbw,2023-06-30,Moneybagg Yo,Keep It Low (feat. Future),76
