uri,date_added,main_artist,track_name,popularity
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-09-09,Roddy Ricch,Ghetto Superstar (feat. G Herbo & Doe Boy),0
spotify:track:7fSM2taFBEB1WNZl8AOIoo,2022-09-09,Lil Baby,Detox,76
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-09-09,Offset,CODE (feat. Moneybagg Yo),75
spotify:track:2mzlyJ8Gb8cFMJvfENKnJQ,2022-09-09,Lil Tecca,Treesha,74
spotify:track:1a019wP7IdYLexwbmfZPm3,2022-09-09,Yeat,Flawlëss (feat. Lil Uzi Vert),0
spotify:track:0WA4APfzK7Y1pdzhvyhSwD,2022-09-09,NAV,One Time (with Don Toliver feat. Future),0
spotify:track:4HTkk2vceRNg08yGcRJtBS,2022-09-09,YoungBoy Never Broke Again,Purge Me,38
spotify:track:02sYTqX64iVIIHCNA9hWyh,2022-09-09,G Herbo,"Me, Myself & I (with A Boogie wit da Hoodie)",25
spotify:track:2BJWxD8xKrDv8vneTvTIm9,2022-09-09,Lil Tjay,Beat the Odds,82
spotify:track:2TSfStvlAMLw89u3tali79,2022-09-09,Nardo Wick,Dah Dah DahDah,82
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-09-09,Sleepy Hallow,2 Mins of Pain,54
spotify:track:6I5DkMtgMjN6k270nRwNEl,2022-09-09,DaBaby,WAITRESS,75
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-09-09,NAV,Never Sleep (with Lil Baby feat. Travis Scott),82
spotify:track:0JvnmNjMnTQMRizhrKzMSO,2022-09-09,Gucci Mane,Look Ma I Did It,67
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-09-09,Key Glock,From Nothing,73
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-09-09,Drake,Jimmy Cooks (feat. 21 Savage),91
spotify:track:7pZeacKYnK4unCplCmI2qb,2022-09-09,Freddie Gibbs,Too Much (feat. Moneybagg Yo),65
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-09-09,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),87
