uri,date_added,main_artist,track_name,popularity
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-10-07,Quavo,To The Bone (feat. YoungBoy Never Broke Again),29
spotify:track:23pGZ6n6Xd3yV7qK4xw7dx,2022-10-07,A Boogie Wit da Hoodie,B.R.O. (Better Ride Out) [feat. Roddy Ricch],0
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-10-07,DDG,Bulletproof Maybach (feat. Offset),0
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-10-07,G Herbo,Shordie (with Gunna),13
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-10-07,EST Gee,Shoot It Myself (feat. Future),66
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-10-07,Quavo,Chocolate (feat. Young Thug and Gunna),24
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-10-07,Kodak Black,I’m So Awesome,68
spotify:track:3gqTyw7JosxKm3eFMwOpk9,2022-10-07,YoungBoy Never Broke Again,Pimpin A Bitch,0
spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,2022-10-07,DDG,9 Lives (feat. Polo G & NLE Choppa),69
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-10-07,Roddy Ricch,Stop Breathing,74
spotify:track:7fSM2taFBEB1WNZl8AOIoo,2022-10-07,Lil Baby,Detox,80
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-10-07,Offset,CODE (feat. Moneybagg Yo),78
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-10-07,Ty Dolla $ign,My Friends (feat. Lil Durk),57
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-10-07,EST Gee,Backstage Passes (feat. Jack Harlow),77
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-10-07,Quavo,Nothing Changed,72
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-10-07,Moneybagg Yo,Blow,75
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-10-07,Roddy Ricch,Ghetto Superstar (feat. G Herbo & Doe Boy),74
spotify:track:0JvnmNjMnTQMRizhrKzMSO,2022-10-07,Gucci Mane,Look Ma I Did It,71
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2022-10-07,Lil Baby,Freestyle,83
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-10-07,Sleepy Hallow,2 Mins of Pain (feat. Alborosie),75
spotify:track:3wspfG772mi1c25JpnNOVP,2022-10-07,Kodak Black,Walk,76
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-10-07,GloRilla,Tomorrow 2 (with Cardi B),77
spotify:track:2TSfStvlAMLw89u3tali79,2022-10-07,Nardo Wick,Dah Dah DahDah,83
spotify:track:7pZeacKYnK4unCplCmI2qb,2022-10-07,Freddie Gibbs,Too Much (feat. Moneybagg Yo),71
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-10-07,Key Glock,From Nothing,74
spotify:track:2mzlyJ8Gb8cFMJvfENKnJQ,2022-10-07,Lil Tecca,Treesha,77
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-10-07,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),84
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,2022-10-07,Nicki Minaj,Super Freaky Girl,82
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-10-07,NAV,Never Sleep (with Lil Baby feat. Travis Scott),80
spotify:track:4L1zI1GJxi0Qq38aSYmsS0,2022-10-07,King Combs,Can't Stop Won't Stop (feat. Kodak Black),70
spotify:track:0AzqJBVMdHP9ijAadQ0T18,2022-10-07,YG,Sober (feat. Roddy Ricch & Post Malone),68
spotify:track:2BJWxD8xKrDv8vneTvTIm9,2022-10-07,Lil Tjay,Beat the Odds,83
spotify:track:4CKAeNUTMTnvzpYGKZmQZa,2022-10-07,Tee Grizzley,Robbery Part 4,67
spotify:track:1vrFJDrysqmsNAgyjBzx4f,2022-10-07,Hitkidd,F.N.F. (Let's Go),73
spotify:track:1jOgJN75btuUONIdf57vHz,2022-10-07,Ice Spice,Munch (Feelin’ U),78
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-10-07,Drake,Jimmy Cooks (feat. 21 Savage),91
spotify:track:3umPlMokEzAFxJO33tNdlY,2022-10-07,42 Dugg,IDGAF,70
spotify:track:60PTOzcoFycWBICdumIsFQ,2022-10-07,Lil Uzi Vert,FOR FUN,76
spotify:track:6nrPRHGdz1ytpX2ZBZ4RGU,2022-10-07,Internet Money,Falsetto (feat. Lil Tecca),70
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-10-07,Young Dolph,Hall of Fame,72
spotify:track:5gcsJvWzuPMeJBQYdiO0RS,2022-10-07,SleazyWorld Go,Step 1 (with Offset),73
spotify:track:1NtyeXryylf8HWXnxVTD3v,2022-10-07,Rod Wave,Yungen (feat. Jack Harlow),75
spotify:track:1r3qUIDhMvoTct7cxPnbdN,2022-10-07,Kid Cudi,Can't Believe It (feat. 2 Chainz),69
spotify:track:0oO1AbL92F6329z13C2qQH,2022-10-07,Yeat,Talk,76
spotify:track:0iPb0dxCtjFcmFa2ElfBJ5,2022-10-07,Offset,54321,72
spotify:track:6djtjrpnWcuOaozVb8xKXS,2022-10-07,Gucci Mane,Red Flag,67
