uri,date_added,main_artist,track_name,popularity
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-02-03,Drake,Rich Flex,90
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-02-03,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],88
spotify:track:5BbdKBZO0TH0GhfxUfyhL9,2023-02-03,Lil Baby,Freestyle,79
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-02-03,Lil Uzi Vert,Just Wanna Rock,88
spotify:track:5c2IvJeaFx4m2DmOR1iryD,2023-02-03,GloRilla,Internet Trolls,0
spotify:track:68Dni7IE4VyPkTOH9mRWHr,2023-02-03,J. Cole,No Role Modelz,85
spotify:track:7ezboaARv4FY1k0WFoINWC,2023-02-03,NLE Choppa,Champions,0
spotify:track:0UMqDSXk4xvoCNRrIEPf7T,2023-02-03,Gucci Mane,King Snipe,72
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-02-03,Metro Boomin,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],83
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-02-03,Only The Family,Mad Max,76
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-02-03,NLE Choppa,23,68
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-02-03,SoFaygo,Hell Yeah,69
spotify:track:3084aAzars6DR26nCWO9Ep,2023-02-03,Moneybagg Yo,Quickie,73
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-02-03,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),83
spotify:track:4uJ7fjPKqeVR7csKvZ6gKJ,2023-02-03,Money Musik,Double Faces,0
spotify:track:1a7tOEheXeaSNathZW4Gzk,2023-02-03,Lil Durk,Hanging With Wolves,73
spotify:track:3RKjTYlQrtLXCq5ncswBPp,2023-02-03,Baby Tate,"Hey, Mickey!",80
spotify:track:7CpXFEjLntpr4GdOhTtFEv,2023-02-03,Nas,"One Mic, One Gun",71
spotify:track:6UN73IYd0hZxLi8wFPMQij,2023-02-03,Coi Leray,Players,83
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2023-02-03,Drake,Pussy & Millions (feat. Travis Scott),82
spotify:track:2q2HyvGHcDbIgHi9o5gpFQ,2023-02-03,Trippie Redd,DARK BROTHERHOOD (feat. Lil Baby),70
spotify:track:0yUaLqhsVsguBpoOPL4cO7,2023-02-03,Ice Spice,In Ha Mood,74
spotify:track:53acd3PVcgGCux58YABBr5,2023-02-03,Flo Milli,Conceited (feat. Lola Brooke & Maiya The Don),61
spotify:track:6IyoLWzljeR3ldQo4KWHT6,2023-02-03,Yeat,Out thë way,81
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2023-02-03,Young Dolph,Get Away,67
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-02-03,A Boogie Wit da Hoodie,Water (Drowning Pt. 2) [feat. Kodak Black],71
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-02-03,Polo G,My All,75
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2023-02-03,Roddy Ricch,Twin (feat. Lil Durk),70
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2023-02-03,Peezy,2 Million Up,71
spotify:track:6DswwzQlABrNoqjNydtvuX,2023-02-03,Lil Tecca,Blessing,68
spotify:track:4OkFBMU18NidtaefaTjUq1,2023-02-03,Lil Baby,Real Spill,73
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2023-02-03,Key Glock,Jigsaw,65
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2023-02-03,Finesse2tymes,If You Still Wit Me (feat. Lil Baby),65
spotify:track:4lxTmHPgoRWwM9QisWobJL,2023-02-03,Latto,FTCU (feat. GloRilla & Gangsta Boo),65
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-02-03,Young Dolph,Love For The Streets,67
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2023-02-03,NLE Choppa,Do It Again (feat. 2Rare),78
spotify:track:5R5UNKWsmMPpFq5JHK93Fw,2023-02-03,Rae Sremmurd,Torpedo,68
spotify:track:4CCrZzRdeWYrWJ0DoN4XCa,2023-02-03,TiaCorine,FreakyT,69
spotify:track:7ppUTKvokd4vQ68TNAxuZk,2023-02-03,Eem Triplin,JUST FRIENDS ?,68
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-02-03,Central Cee,LET GO,90
spotify:track:6clDsO8HwhHEgJDDp88VdL,2023-02-03,Cordae,Two Tens (feat. Anderson .Paak),71
spotify:track:4ZevD501qZiFK7FY8DFn0V,2023-02-03,Don Toliver,Do It Right,71
spotify:track:7B09THlbQE2RndpgXeXQYE,2023-02-03,Gucci Mane,Letter to Takeoff,63
spotify:track:6aGpM4DXts4pdRhVKbRYuk,2023-02-03,Lola Brooke,Don't Play With It (feat. Billy B),71
spotify:track:3fNMgjG8yXaSam46swhz7w,2023-02-03,Trippie Redd,KNIGHT CRAWLER (feat. Juice WRLD),75
spotify:track:4vIBtcC2KzJY4Va98bvI8P,2023-02-03,Rae Sremmurd,Sucka Or Sum,63
spotify:track:31UEIDEnR72bsUiavstcof,2023-02-03,Russ,PUT YOU ON GAME,70
spotify:track:4ZyivnzrvDWRjihgqxvXK8,2023-02-03,DaBaby,JOC IN '06,65
spotify:track:2Q2mcoXVkioh4OBcL8mm4p,2023-02-03,Moneybagg Yo,On Wat U On (with GloRilla),70
spotify:track:2nLwnTorexhx3qKRY7zymH,2023-02-03,EST Gee,IF I STOP NOW,58
