uri,date_added,main_artist,track_name,popularity
spotify:track:46s57QULU02Voy0Kup6UEb,2022-11-04,Drake,Major Distribution,0
spotify:track:4FyesJzVpA39hbYvcseO2d,2022-10-21,Lil Uzi Vert,Just Wanna Rock,84
spotify:track:1KaRuTOGchQyTnrY3vWzfR,2022-10-21,Roddy Ricch,Aston Martin Truck,75
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-10-21,Central Cee,One Up,75
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2022-11-04,Drake,Pussy & Millions (feat. Travis Scott),0
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-10-21,Lil Baby,California Breeze,81
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-10-21,Quavo,To The Bone (feat. YoungBoy Never Broke Again),77
spotify:track:2eWHHPZS4pb7mEMcow4bqT,2022-11-04,A Boogie Wit da Hoodie,Ballin,49
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2022-10-28,Juice WRLD,In My Head,82
spotify:track:7l2nxyx7IkBX5orhkALg0V,2022-11-04,Drake,Privileged Rappers,0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-10-21,Roddy Ricch,Stop Breathing,78
spotify:track:3y3NwQPQAjKCunRz2eKggA,2022-10-28,Kodak Black,300 Blackout,70
spotify:track:6ja11GoXgF75QkEVqqAadn,2022-10-28,Trippie Redd,Ain’t Safe (feat. Don Toliver),72
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-10-21,Nardo Wick,G Nikes (feat. Polo G),73
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-10-21,Lil Baby,Not Finished,79
spotify:track:46GyY53xkfMRYTqZAQ33ne,2022-10-28,Money Man,Similar,62
spotify:track:1QrL8zd8MIrCiOPuj02dxC,2022-10-21,Finesse2tymes,Back End,63
spotify:track:5BvfdAtqZXGbR3Ub1Bejb6,2022-10-28,Baby Keem,bank account (with Lil Uzi Vert),71
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-10-21,Russ,BET,71
spotify:track:6Y95jrYOOWDkh7uO6PSDBT,2022-10-28,Polo G,Bag Talk,72
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-10-21,A Boogie Wit da Hoodie,Take Shots (feat. Tory Lanez),71
spotify:track:4OkFBMU18NidtaefaTjUq1,2022-10-28,Lil Baby,Real Spill,78
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-10-21,Ty Dolla $ign,My Friends (feat. Lil Durk),74
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-10-21,EST Gee,Shoot It Myself (feat. Future),71
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-10-21,Moneybagg Yo,Blow,74
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-10-21,Kodak Black,I’m So Awesome,71
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-10-21,DDG,Bulletproof Maybach (feat. Offset),69
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-10-21,Quavo,Nothing Changed,74
spotify:track:4cAPBai2AcHU3dFp7tGt3X,2022-11-04,NLE Choppa,Ice Spice,0
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-10-21,GloRilla,Tomorrow 2 (with Cardi B),81
