,uri,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,date
13,spotify:track:02Cj2MSlERvamTj5A7Zi0P,0.83,0.644,10.0,0.0,0.407,0.0298,0.0,0.11,0.227,155.103,173419.0,4.0,2022-07-30
14,spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,0.789,0.71,5.0,0.0,0.0681,0.128,0.0,0.112,0.188,138.033,183187.0,4.0,2022-07-30
15,spotify:track:30vAfL9Wyu2fu07vdbZ1Xt,0.936,0.497,1.0,1.0,0.41,0.0324,0.0,0.111,0.364,138.016,146732.0,4.0,2022-07-30
16,spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,0.869,0.298,2.0,1.0,0.386,0.2,0.0,0.0753,0.178,77.47,161355.0,4.0,2022-07-30
17,spotify:track:0ehikRZdaCWkqg5gd8ilMJ,0.86,0.69,1.0,1.0,0.185,0.096,0.0,0.162,0.331,137.01,238333.0,4.0,2022-07-30
18,spotify:track:6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2.0,1.0,0.382,0.0245,0.0,0.103,0.211,165.991,213976.0,4.0,2022-07-30
19,spotify:track:3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6.0,1.0,0.288,0.38,0.0,0.403,0.972,140.04,97393.0,4.0,2022-07-30
20,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,0.9,0.509,1.0,1.0,0.257,0.115,1.67e-06,0.0937,0.765,100.007,99283.0,4.0,2022-07-30
21,spotify:track:6Bl1k7SZTP5gkfLPjkIwtx,0.786,0.637,2.0,1.0,0.338,0.037,0.0,0.316,0.426,79.986,231085.0,4.0,2022-07-30
22,spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,11.0,1.0,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187.0,4.0,2022-07-30
23,spotify:track:3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4.0,0.0,0.297,0.0336,0.0,0.112,0.145,84.216,200471.0,4.0,2022-07-30
24,spotify:track:58k32my5lKofeZRtIvBDg9,0.676,0.536,2.0,1.0,0.0432,0.403,3.37e-05,0.105,0.373,79.037,172672.0,4.0,2022-07-30
25,spotify:track:1QPreu0BNOrUfEb8HTd2qG,0.852,0.421,10.0,0.0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285.0,4.0,2022-07-30
26,spotify:track:6lhanwNaMxRtdLypNcXWDL,0.904,0.601,2.0,1.0,0.198,0.0305,0.0,0.615,0.761,87.037,118467.0,4.0,2022-07-30
27,spotify:track:5f1Y2rWe7MTvRfN1yQqFaa,0.6,0.605,1.0,0.0,0.186,0.0579,0.0,0.351,0.447,187.964,144979.0,4.0,2022-07-30
28,spotify:track:3uJFmluXzYedoJcvhpC1AW,0.878,0.685,9.0,1.0,0.225,0.00152,0.0,0.0753,0.523,157.003,211649.0,4.0,2022-07-30
29,spotify:track:1vrFJDrysqmsNAgyjBzx4f,0.864,0.476,1.0,1.0,0.436,0.0374,0.0,0.374,0.647,157.144,137580.0,4.0,2022-07-30
