uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:4WuOWVnAqvEQxgSRrspBgt,2023-01-07,0.671,0.658,2,1,0.309,0.189,8.66e-05,0.147,0.257,87.933,207307.0,4,87.0
spotify:track:2i2qDe3dnTl6maUE31FO7c,2023-01-07,0.898,0.64,5,0,0.255,0.0212,0.0,0.0919,0.68,149.988,153600.0,4,79.0
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2023-01-07,0.561,0.52,11,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360.0,3,96.0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-01-07,0.526,0.606,5,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4,90.0
spotify:track:2UQ2oUbHiB8wWYCE42JX0k,2023-01-07,0.493,0.613,1,1,0.414,0.0393,0.0,0.128,0.373,156.104,197692.0,4,81.0
spotify:track:3QHGfxhjexLaMKGHXagfRs,2023-01-07,0.696,0.708,9,1,0.0438,0.000113,0.0,0.444,0.287,142.026,168161.0,4,73.0
spotify:track:4FyesJzVpA39hbYvcseO2d,2023-01-07,0.486,0.545,11,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891.0,4,92.0
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-01-07,0.684,0.671,7,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4,87.0
spotify:track:3084aAzars6DR26nCWO9Ep,2023-01-07,0.87,0.506,2,1,0.432,0.0901,0.0,0.145,0.347,137.921,187826.0,4,76.0
spotify:track:7foHBs2UUa9YX4UWQlOfiC,2023-01-07,0.898,0.56,0,1,0.117,0.00238,0.0,0.108,0.465,146.458,269067.0,4,52.0
spotify:track:7k5lDslyLbcykzUOPGEdKR,2023-01-07,0.799,0.733,2,1,0.216,0.172,1.7e-05,0.332,0.753,146.051,185280.0,4,72.0
spotify:track:3zkyus0njMCL6phZmNNEeN,2023-01-07,0.735,0.449,2,0,0.383,0.859,0.0,0.213,0.514,146.016,175890.0,4,93.0
spotify:track:6yDPFrHZLQbQa9Itd2J4Gp,2023-01-07,0.855,0.603,0,1,0.284,0.0392,0.0,0.105,0.494,129.976,206769.0,4,78.0
