uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-10-08,0.899,0.582,11,0,0.264,0.0395,0.0,0.1,0.505,149.973,283196.0,4,29.0
spotify:track:23pGZ6n6Xd3yV7qK4xw7dx,2022-10-08,0.576,0.596,2,0,0.108,0.0398,0.0,0.0975,0.338,95.457,178041.0,4,0.0
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-10-08,0.699,0.58,7,0,0.325,0.0754,0.0,0.0768,0.596,94.93,177074.0,4,0.0
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-10-08,0.768,0.695,9,1,0.179,0.0301,0.0,0.235,0.41,76.007,176588.0,4,13.0
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-10-08,0.798,0.471,8,1,0.125,0.00189,0.0,0.154,0.11,135.102,187844.0,4,66.0
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-10-08,0.854,0.611,1,0,0.228,0.2,0.0,0.19,0.728,129.003,208372.0,4,24.0
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-10-08,0.908,0.606,7,1,0.227,0.0549,0.0,0.422,0.147,108.053,187202.0,4,68.0
spotify:track:3gqTyw7JosxKm3eFMwOpk9,2022-10-08,0.636,0.741,1,1,0.343,0.0249,0.0,0.0852,0.627,80.836,148571.0,4,0.0
spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,2022-10-08,0.577,0.533,5,0,0.501,0.0957,0.0,0.127,0.799,160.088,228000.0,4,69.0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-10-08,0.586,0.689,0,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707.0,4,74.0
spotify:track:7fSM2taFBEB1WNZl8AOIoo,2022-10-08,0.845,0.503,1,1,0.334,0.027,0.0,0.116,0.416,147.031,161637.0,4,80.0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-10-08,0.599,0.598,4,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,192428.0,4,78.0
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-10-08,0.633,0.478,8,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168.0,4,57.0
