uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2022-11-12,0.561,0.52,11,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,239360.0,3,91.0
spotify:track:4FyesJzVpA39hbYvcseO2d,2022-11-12,0.486,0.545,11,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891.0,4,86.0
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-11-12,0.738,0.666,5,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789.0,4,82.0
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-11-12,0.85,0.664,6,0,0.261,0.322,0.0,0.0475,0.743,144.108,160000.0,4,77.0
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-11-12,0.899,0.582,11,0,0.264,0.0395,0.0,0.1,0.505,149.973,283196.0,4,78.0
spotify:track:46s57QULU02Voy0Kup6UEb,2022-11-12,0.908,0.546,8,0,0.323,0.0127,0.0,0.0707,0.225,131.016,170502.0,4,89.0
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2022-11-12,0.633,0.548,5,0,0.0467,0.269,0.0,0.16,0.35,160.011,192000.0,4,83.0
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2022-11-12,0.701,0.562,1,1,0.0381,0.0166,1.2e-05,0.352,0.354,84.994,169412.0,4,52.0
spotify:track:3y3NwQPQAjKCunRz2eKggA,2022-11-12,0.669,0.741,0,0,0.316,0.0198,0.0,0.223,0.396,167.903,166494.0,4,72.0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-11-12,0.586,0.689,0,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707.0,4,78.0
spotify:track:6ja11GoXgF75QkEVqqAadn,2022-11-12,0.829,0.644,9,1,0.291,0.221,1.04e-06,0.141,0.515,147.151,166515.0,4,74.0
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-11-12,0.854,0.611,1,0,0.228,0.2,0.0,0.19,0.728,129.003,208372.0,4,73.0
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-11-12,0.785,0.524,1,1,0.122,0.0123,0.0,0.365,0.0855,142.007,163454.0,4,79.0
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-11-12,0.808,0.644,1,1,0.329,0.0716,0.0,0.085,0.512,151.098,206968.0,4,73.0
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-11-12,0.791,0.818,0,1,0.406,0.0695,0.0,0.114,0.693,159.922,209811.0,4,81.0
spotify:track:46GyY53xkfMRYTqZAQ33ne,2022-11-12,0.894,0.458,5,0,0.363,0.0647,0.0144,0.109,0.382,150.003,112000.0,4,65.0
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2022-11-12,0.806,0.64,11,0,0.317,0.0864,0.0,0.201,0.716,160.054,213206.0,4,76.0
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-11-12,0.63,0.505,10,0,0.244,0.0331,0.0,0.0713,0.578,92.537,281985.0,4,72.0
spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,2022-11-12,0.691,0.656,10,0,0.0679,0.222,0.00111,0.153,0.393,89.467,159331.0,4,37.0
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2022-11-12,0.749,0.63,4,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027.0,4,89.0
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-11-12,0.802,0.42,7,0,0.13,0.229,1.87e-05,0.299,0.183,125.948,154286.0,4,71.0
spotify:track:4OkFBMU18NidtaefaTjUq1,2022-11-12,0.776,0.557,2,1,0.545,0.0496,0.0,0.112,0.284,156.978,198722.0,4,78.0
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-11-12,0.633,0.478,8,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168.0,4,74.0
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-11-12,0.798,0.471,8,1,0.125,0.00189,0.0,0.154,0.11,135.102,187844.0,4,71.0
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-11-12,0.815,0.742,11,0,0.245,0.0579,0.0,0.345,0.584,137.036,182533.0,4,74.0
spotify:track:1KaRuTOGchQyTnrY3vWzfR,2022-11-12,0.749,0.548,5,0,0.352,0.194,0.0,0.16,0.581,153.855,180240.0,4,76.0
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-11-12,0.908,0.606,7,1,0.227,0.0549,0.0,0.422,0.147,108.053,187202.0,4,70.0
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-11-12,0.907,0.59,5,0,0.108,0.18,0.0,0.184,0.681,134.902,199111.0,4,74.0
spotify:track:1oqXQ2ghTORGDAkeLwkIDD,2022-11-12,0.871,0.695,1,1,0.266,0.0694,0.0,0.185,0.295,129.99,131120.0,4,66.0
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-11-12,0.704,0.62,9,0,0.362,0.0686,0.0,0.144,0.383,157.093,244840.0,4,72.0
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-11-12,0.699,0.58,7,0,0.325,0.0754,0.0,0.0768,0.596,94.93,177074.0,4,70.0
spotify:track:6XO8RlYuJCiI0v3IA48FeJ,2022-11-12,0.645,0.525,3,0,0.0355,0.0574,0.0,0.505,0.238,83.018,108499.0,4,84.0
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-11-12,0.768,0.695,9,1,0.179,0.0301,0.0,0.235,0.41,76.007,176588.0,4,68.0
