uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-04-29,0.817,0.44,10,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113.0,4,91.0
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-04-29,0.938,0.606,6,0,0.419,0.117,0.0,0.528,0.706,121.108,123673.0,4,88.0
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-04-29,0.571,0.549,1,0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4,90.0
spotify:track:2dSKFFNoNXKo3hPnlwUdPe,2023-04-29,0.536,0.814,1,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292.0,4,0.0
spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,2023-04-29,0.898,0.676,9,1,0.187,0.14,0.0,0.101,0.742,147.991,172125.0,4,84.0
spotify:track:72vMwCjJuRRa1r0bhFBbE1,2023-04-29,0.938,0.613,11,0,0.22,0.0312,0.000162,0.0982,0.275,99.938,128667.0,4,39.0
spotify:track:5m0yZ33oOy0yYBtdTXuxQe,2023-04-29,0.962,0.619,10,0,0.405,0.0354,0.0,0.083,0.154,127.958,144652.0,4,84.0
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-04-29,0.786,0.719,0,0,0.296,0.252,0.0,0.301,0.802,130.081,178950.0,4,78.0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-04-29,0.843,0.669,1,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253.0,4,85.0
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-04-29,0.686,0.897,11,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139.0,4,90.0
spotify:track:78aELoNP2X3DC3rjHEVLPy,2023-04-29,0.752,0.764,6,0,0.331,0.693,0.0,0.103,0.744,102.008,118797.0,4,0.0
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-04-29,0.773,0.701,7,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589.0,4,85.0
spotify:track:410ZZP746AQeiywhKvXWCo,2023-04-29,0.481,0.797,6,0,0.201,0.404,0.0,0.368,0.495,96.237,206050.0,3,85.0
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-04-29,0.462,0.251,4,0,0.159,0.414,0.0,0.201,0.137,89.705,167977.0,3,78.0
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-04-29,0.956,0.515,11,0,0.337,0.305,0.0,0.156,0.69,119.937,122070.0,4,86.0
spotify:track:0judK8TqYfvwUohBngUxrE,2023-04-29,0.706,0.648,8,1,0.324,0.505,0.0,0.215,0.802,77.533,161041.0,4,83.0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-04-29,0.526,0.606,5,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4,90.0
spotify:track:6w9GrSUaQQIaMBYtabge7p,2023-04-29,0.861,0.496,4,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693.0,4,78.0
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-04-29,0.779,0.684,8,1,0.108,0.181,0.0,0.0691,0.526,124.034,174240.0,4,76.0
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-04-29,0.825,0.718,1,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,185001.0,4,76.0
