uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:4FyesJzVpA39hbYvcseO2d,2022-10-22,0.486,0.545,11,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891.0,4,73.0
spotify:track:1KaRuTOGchQyTnrY3vWzfR,2022-10-22,0.749,0.548,5,0,0.352,0.194,0.0,0.16,0.581,153.855,180240.0,4,0.0
spotify:track:74loibzxXRL875X20kenvk,2022-10-22,0.695,0.555,5,0,0.0509,0.141,0.826,0.11,0.26,150.024,83200.0,4,85.0
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-10-22,0.785,0.524,1,1,0.122,0.0123,0.0,0.365,0.0855,142.007,163454.0,4,78.0
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-10-22,0.808,0.644,1,1,0.329,0.0716,0.0,0.085,0.512,151.098,206968.0,4,69.0
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-10-22,0.899,0.582,11,0,0.264,0.0395,0.0,0.1,0.505,149.973,283196.0,4,75.0
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-10-22,0.802,0.42,7,0,0.13,0.229,1.87e-05,0.299,0.183,125.948,154286.0,4,68.0
spotify:track:1oqXQ2ghTORGDAkeLwkIDD,2022-10-22,0.871,0.695,1,1,0.266,0.0694,0.0,0.185,0.295,129.99,131120.0,4,66.0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-10-22,0.586,0.689,0,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707.0,4,78.0
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-10-22,0.63,0.505,10,0,0.244,0.0331,0.0,0.0713,0.578,92.537,281985.0,4,33.0
spotify:track:6XO8RlYuJCiI0v3IA48FeJ,2022-10-22,0.645,0.525,3,0,0.0355,0.0574,0.0,0.505,0.238,83.018,108499.0,4,83.0
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-10-22,0.798,0.471,8,1,0.125,0.00189,0.0,0.154,0.11,135.102,187844.0,4,69.0
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-10-22,0.815,0.742,11,0,0.245,0.0579,0.0,0.345,0.584,137.036,182533.0,4,75.0
spotify:track:3wspfG772mi1c25JpnNOVP,2022-10-22,0.817,0.512,8,1,0.0984,0.037,0.0,0.216,0.17,130.04,166039.0,4,77.0
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-10-22,0.633,0.478,8,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168.0,4,74.0
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-10-22,0.699,0.58,7,0,0.325,0.0754,0.0,0.0768,0.596,94.93,177074.0,4,68.0
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-10-22,0.908,0.606,7,1,0.227,0.0549,0.0,0.422,0.147,108.053,187202.0,4,72.0
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-10-22,0.907,0.59,5,0,0.108,0.18,0.0,0.184,0.681,134.902,199111.0,4,74.0
spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,2022-10-22,0.577,0.533,5,0,0.501,0.0957,0.0,0.127,0.799,160.088,228000.0,4,73.0
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-10-22,0.704,0.62,9,0,0.362,0.0686,0.0,0.144,0.383,157.093,244840.0,4,74.0
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-10-22,0.886,0.434,11,0,0.403,0.101,1.22e-06,0.297,0.785,147.995,136696.0,4,74.0
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-10-22,0.791,0.818,0,1,0.406,0.0695,0.0,0.114,0.693,159.922,209811.0,4,81.0
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-10-22,0.819,0.651,1,1,0.169,0.00639,0.0,0.122,0.501,139.957,185786.0,4,79.0
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-10-22,0.854,0.611,1,0,0.228,0.2,0.0,0.19,0.728,129.003,208372.0,4,71.0
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-10-22,0.85,0.664,6,0,0.261,0.322,0.0,0.0475,0.743,144.108,160000.0,4,72.0
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-10-22,0.738,0.666,5,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789.0,4,79.0
spotify:track:0vbmYCIWENdYyJ36Q4CdSz,2022-10-22,0.773,0.623,7,1,0.0983,0.24,3.56e-05,0.148,0.528,147.826,208270.0,4,75.0
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-10-22,0.855,0.478,1,1,0.345,0.145,0.0,0.101,0.536,153.074,158431.0,4,77.0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-10-22,0.599,0.598,4,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,192428.0,4,76.0
spotify:track:1QrL8zd8MIrCiOPuj02dxC,2022-10-22,0.88,0.746,10,0,0.124,0.0129,0.0,0.105,0.315,130.045,165479.0,4,46.0
spotify:track:6w2laMOxRE0yUsbq4bVLiZ,2022-10-22,0.493,0.666,7,1,0.268,0.00256,0.0,0.0797,0.164,87.932,192727.0,5,74.0
spotify:track:6hFAavE0EiilAXtubEpEW0,2022-10-22,0.794,0.811,5,1,0.367,0.00824,0.0,0.558,0.588,98.511,116906.0,4,12.0
