uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:7fSM2taFBEB1WNZl8AOIoo,2022-09-03,0.845,0.503,1,1,0.334,0.027,0.0,0.116,0.416,147.031,161637.0,4,0.0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-09-03,0.599,0.598,4,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,192428.0,4,71.0
spotify:track:2TSfStvlAMLw89u3tali79,2022-09-03,0.66,0.373,11,1,0.595,0.149,0.0,0.106,0.35,167.912,151776.0,4,81.0
spotify:track:6I5DkMtgMjN6k270nRwNEl,2022-09-03,0.83,0.727,1,1,0.0894,0.00473,0.0,0.251,0.247,145.901,132018.0,4,74.0
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-09-03,0.821,0.716,9,1,0.301,0.0726,0.0,0.154,0.529,125.005,169307.0,4,72.0
spotify:track:67QVeMvttYHbB1Zuvh0cn6,2022-09-03,0.62,0.753,1,1,0.0424,0.00385,9.4e-06,0.111,0.0711,156.933,158979.0,4,74.0
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-09-03,0.529,0.673,0,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4,91.0
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-09-03,0.819,0.651,1,1,0.169,0.00639,0.0,0.122,0.501,139.957,185786.0,4,82.0
spotify:track:0JvnmNjMnTQMRizhrKzMSO,2022-09-03,0.82,0.55,0,1,0.172,0.00795,0.0,0.11,0.391,128.027,207787.0,3,22.0
spotify:track:6pr7X9UZCDn8CruopaNVha,2022-09-03,0.496,0.7,1,0,0.284,0.0197,0.0,0.103,0.464,107.711,173783.0,3,76.0
spotify:track:2BJWxD8xKrDv8vneTvTIm9,2022-09-03,0.498,0.625,8,0,0.342,0.054,0.0,0.175,0.478,84.821,150000.0,4,80.0
