uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-08-25,0.718,0.461,4,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176.0,4,87.0
spotify:track:2TSfStvlAMLw89u3tali79,2022-08-25,0.66,0.373,11,1,0.595,0.149,0.0,0.106,0.35,167.912,151776.0,4,79.0
spotify:track:0iPb0dxCtjFcmFa2ElfBJ5,2022-08-25,0.934,0.694,9,0,0.175,0.117,0.0,0.239,0.464,129.028,182326.0,4,69.0
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-08-25,0.529,0.673,0,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4,91.0
spotify:track:6I5DkMtgMjN6k270nRwNEl,2022-08-25,0.83,0.727,1,1,0.0894,0.00473,0.0,0.251,0.247,145.901,132018.0,4,71.0
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-08-25,0.819,0.651,1,1,0.169,0.00639,0.0,0.122,0.501,139.957,185786.0,4,82.0
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-08-25,0.821,0.716,9,1,0.301,0.0726,0.0,0.154,0.529,125.005,169307.0,4,65.0
spotify:track:6nrPRHGdz1ytpX2ZBZ4RGU,2022-08-25,0.763,0.687,6,0,0.28,0.268,0.0,0.119,0.203,131.05,135573.0,4,66.0
spotify:track:6x3gud5JkOSGYJpRUYN1Gg,2022-08-25,0.726,0.508,1,1,0.0869,0.00124,0.0,0.204,0.173,149.979,216013.0,4,74.0
spotify:track:12PNcnMsjsZ3eHm62t8hiy,2022-08-25,0.545,0.781,10,1,0.185,0.0139,0.0,0.161,0.277,150.097,232507.0,4,69.0
spotify:track:6HW0HSK7j7FHeFlxqNdKR4,2022-08-25,0.569,0.459,1,0,0.355,0.0648,0.0,0.168,0.0649,107.253,145245.0,5,69.0
spotify:track:0QNNd0qMCDbraS1nQPg3aA,2022-08-25,0.821,0.636,11,1,0.169,0.142,0.0,0.233,0.163,127.961,142657.0,4,81.0
spotify:track:1dH43IEzvkRIFu6HdXWCha,2022-08-25,0.641,0.511,0,0,0.429,0.242,0.0,0.115,0.462,153.902,129638.0,4,75.0
spotify:track:1YWE7cMqo4iVNdPTpH4Khj,2022-08-25,0.711,0.686,5,0,0.271,0.0355,0.0,0.124,0.536,146.971,173187.0,4,72.0
spotify:track:02Cj2MSlERvamTj5A7Zi0P,2022-08-25,0.83,0.644,10,0,0.407,0.0298,0.0,0.11,0.227,155.103,173419.0,4,75.0
spotify:track:1fz22sUZlpL9jZOWz02wws,2022-08-25,0.766,0.485,4,0,0.237,0.111,0.0,0.436,0.289,140.055,134908.0,4,73.0
spotify:track:1NtyeXryylf8HWXnxVTD3v,2022-08-25,0.614,0.744,11,1,0.125,0.309,1.14e-06,0.173,0.589,146.02,226115.0,4,74.0
spotify:track:7N17JE5sPConOSeEIC5AnS,2022-08-25,0.821,0.726,1,1,0.156,0.0337,0.0,0.0564,0.757,134.977,192137.0,4,70.0
spotify:track:3umPlMokEzAFxJO33tNdlY,2022-08-25,0.514,0.611,4,1,0.287,0.0105,0.0,0.312,0.311,108.666,138673.0,5,65.0
spotify:track:3uJFmluXzYedoJcvhpC1AW,2022-08-25,0.878,0.685,9,1,0.225,0.00152,0.0,0.0753,0.523,157.003,211649.0,4,80.0
spotify:track:5qgFgsrrxOjyPmX5YCuK2E,2022-08-25,0.883,0.657,8,1,0.305,0.0603,0.0,0.128,0.284,124.992,172933.0,4,74.0
spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,2022-08-25,0.789,0.71,5,0,0.0681,0.128,0.0,0.112,0.188,138.033,183187.0,4,75.0
spotify:track:1oc92BMKYkNxK17C2GtyRM,2022-08-25,0.713,0.689,11,1,0.255,0.16,0.0,0.136,0.63,156.934,171319.0,4,79.0
spotify:track:5gcsJvWzuPMeJBQYdiO0RS,2022-08-25,0.672,0.58,2,1,0.234,0.0934,0.0,0.103,0.116,111.55,177731.0,3,73.0
spotify:track:30vAfL9Wyu2fu07vdbZ1Xt,2022-08-25,0.936,0.497,1,1,0.41,0.0324,0.0,0.111,0.364,138.016,146732.0,4,75.0
spotify:track:5EeFkn825wcD3q2Tkk2vCu,2022-08-25,0.666,0.632,11,0,0.123,0.106,0.0,0.35,0.127,129.956,228922.0,3,68.0
spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,2022-08-25,0.869,0.298,2,1,0.386,0.2,0.0,0.0753,0.178,77.47,161355.0,4,78.0
spotify:track:6vA7RdHmU23h3ygUPPFXz5,2022-08-25,0.94,0.606,1,1,0.195,0.0215,0.0,0.18,0.507,130.0,154433.0,4,72.0
spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,2022-08-25,0.773,0.707,11,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,236187.0,4,78.0
spotify:track:3c1sfDYFzlTGTnyVjUZNl1,2022-08-25,0.627,0.726,9,0,0.17,0.2,0.000446,0.293,0.617,81.003,149074.0,4,61.0
spotify:track:5ie5OPdaP9fivYaKcjwKF1,2022-08-25,0.596,0.545,3,0,0.0368,0.703,0.0,0.0811,0.0923,82.07,191159.0,4,73.0
spotify:track:60PTOzcoFycWBICdumIsFQ,2022-08-25,0.775,0.461,7,0,0.124,0.157,0.0,0.0687,0.131,134.028,188060.0,4,74.0
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-08-25,0.86,0.69,1,1,0.185,0.096,0.0,0.162,0.331,137.01,238333.0,4,71.0
spotify:track:4C6Uex2ILwJi9sZXRdmqXp,2022-08-25,0.95,0.891,2,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,170977.0,4,88.0
spotify:track:6Bl1k7SZTP5gkfLPjkIwtx,2022-08-25,0.786,0.637,2,1,0.338,0.037,0.0,0.316,0.426,79.986,231085.0,4,68.0
spotify:track:7rQ84WsT2Wcnrz5gTmbGmw,2022-08-25,0.71,0.828,1,1,0.0726,0.199,0.0,0.168,0.316,128.027,247458.0,4,75.0
spotify:track:0b7UwotRCrS7qBoLDjfvSY,2022-08-25,0.824,0.583,1,1,0.147,0.00253,0.0,0.266,0.154,147.496,235501.0,4,73.0
spotify:track:6JbrcjoMVBBNZllVOiHBcU,2022-08-25,0.774,0.551,1,1,0.0854,0.0334,0.0,0.109,0.0858,137.932,160034.0,4,68.0
spotify:track:3LtpKP5abr2qqjunvjlX5i,2022-08-25,0.911,0.573,6,1,0.288,0.38,0.0,0.403,0.972,140.04,97393.0,4,92.0
spotify:track:5ZWNnO9MyPfGrUHiGWHESB,2022-08-25,0.844,0.722,1,0,0.264,0.011,0.0,0.105,0.67,146.976,173061.0,4,74.0
spotify:track:1vrFJDrysqmsNAgyjBzx4f,2022-08-25,0.864,0.476,1,1,0.436,0.0374,0.0,0.374,0.647,157.144,137580.0,4,73.0
spotify:track:1QPreu0BNOrUfEb8HTd2qG,2022-08-25,0.852,0.421,10,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285.0,4,79.0
spotify:track:06JvOZ39sK8D8SqiqfaxDU,2022-08-25,0.712,0.861,5,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,148571.0,4,82.0
spotify:track:0oPpchtgx4hZ2J246g5mqn,2022-08-25,0.773,0.602,0,1,0.173,0.424,0.0,0.125,0.553,82.055,141166.0,4,71.0
spotify:track:63u4taM8CTklMQhrcV3via,2022-08-25,0.492,0.713,8,1,0.434,0.135,0.0,0.171,0.272,150.723,298411.0,4,67.0
spotify:track:5QvW5lK6mkfTegpAK9JOO7,2022-08-25,0.642,0.787,5,0,0.17,0.0185,0.0,0.288,0.406,146.733,130897.0,4,76.0
spotify:track:3lzUeaCbcCDB5IXYfqWRlF,2022-08-25,0.907,0.577,1,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,220779.0,4,79.0
spotify:track:5HN3ikspb1MOyJ0MMjn55I,2022-08-25,0.779,0.508,1,1,0.349,0.00572,0.0,0.122,0.385,159.994,173987.0,4,68.0
spotify:track:6EqF11d0EPJwVynLXu3gvY,2022-08-25,0.78,0.494,1,1,0.251,0.0955,1.34e-05,0.23,0.298,135.013,227556.0,4,73.0
spotify:track:3S68RFe1lsdCdTMPIMJM3X,2022-08-25,0.877,0.56,7,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,216136.0,4,82.0
spotify:track:0Yptvdo4iVZ42hz0m8rGng,2022-08-25,0.619,0.634,0,1,0.3,0.349,0.0,0.125,0.71,81.563,186833.0,4,64.0
