uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:3kH94a1MQM7YrpsZRWuXrh,2023-06-03,0.786,0.706,1,1,0.096,0.0168,0.0,0.174,0.152,154.941,142452.0,4,39.0
spotify:track:6GoVUO5vla1JtUj2rq9Yl4,2023-06-03,0.803,0.649,9,0,0.213,0.111,0.0,0.111,0.135,85.037,226360.0,4,0.0
spotify:track:5rurggqwwudn9clMdcchxT,2023-06-03,0.631,0.535,0,1,0.0842,0.464,0.0,0.115,0.22,140.127,219453.0,4,0.0
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-06-03,0.817,0.44,10,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113.0,4,91.0
spotify:track:1k513qenEUjyU3MxMSUaPj,2023-06-03,0.9,0.597,11,1,0.232,0.0299,0.0,0.0933,0.548,133.954,164776.0,4,72.0
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-06-03,0.829,0.436,3,1,0.327,0.15,0.0,0.0954,0.693,143.031,223204.0,4,91.0
spotify:track:39MK3d3fonIP8Mz9oHCTBB,2023-06-03,0.611,0.483,11,0,0.055,0.214,0.0,0.124,0.204,145.983,231747.0,4,0.0
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-06-03,0.849,0.581,6,0,0.261,0.0178,0.0,0.092,0.274,142.015,217610.0,4,83.0
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-06-03,0.911,0.536,4,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,203813.0,4,75.0
spotify:track:3xOEfEmsrLwf9jcG4gErdA,2023-06-03,0.812,0.63,2,1,0.266,0.0224,0.0,0.0699,0.332,132.957,218173.0,4,77.0
spotify:track:6c6WmIHcHlhccEwSFBhzNa,2023-06-03,0.849,0.614,1,1,0.317,0.0282,0.0,0.0603,0.472,111.363,185748.0,5,0.0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-06-03,0.843,0.669,1,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253.0,4,84.0
spotify:track:2FDTHlrBguDzQkp7PVj16Q,2023-06-03,0.916,0.583,1,1,0.241,0.186,0.0,0.0798,0.661,141.095,226383.0,4,62.0
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-06-03,0.786,0.719,0,0,0.296,0.252,0.0,0.301,0.802,130.081,178950.0,4,78.0
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-06-03,0.571,0.549,1,0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4,90.0
spotify:track:4muwDurKeVOB1WBjTVRWlD,2023-06-03,0.732,0.6,6,0,0.241,0.00385,0.000114,0.112,0.436,167.973,160203.0,4,83.0
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-06-03,0.686,0.897,11,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139.0,4,89.0
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-06-03,0.773,0.701,7,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589.0,4,85.0
spotify:track:3iRCr53b2ZOvoKMTNvBn5d,2023-06-03,0.801,0.706,1,1,0.255,0.000212,0.0,0.15,0.331,138.008,173948.0,4,77.0
spotify:track:75ZoVrZ4mXEsDxv1bQbEAS,2023-06-03,0.861,0.68,11,1,0.3,0.02,0.0,0.112,0.669,155.036,143148.0,4,75.0
spotify:track:4EzkcqltSOxYE2lstuLOFs,2023-06-03,0.939,0.521,1,1,0.379,0.195,0.0,0.201,0.515,124.995,133000.0,4,29.0
spotify:track:3VLsdzHOFM9pyn79QTjiGJ,2023-06-03,0.636,0.723,5,0,0.246,0.0445,0.0,0.107,0.421,162.026,186453.0,4,25.0
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-06-03,0.938,0.606,6,0,0.419,0.117,0.0,0.528,0.706,121.108,123673.0,4,87.0
spotify:track:2f9JzwRy6Ofr5ixvN0ojKt,2023-06-03,0.835,0.552,11,1,0.191,0.00594,1.24e-05,0.139,0.18,105.007,146286.0,4,74.0
spotify:track:4286sbHO5syVcp8BrFO2dI,2023-06-03,0.826,0.709,6,0,0.394,0.101,0.0,0.0948,0.55,82.523,174545.0,4,69.0
spotify:track:6KlqjCLNImX7W9zYt2Xa7D,2023-06-03,0.747,0.565,10,1,0.096,0.00368,0.0,0.104,0.395,143.962,253739.0,4,79.0
