uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:6HgWWaMu31KdOpEG5l28BG,2023-05-20,0.829,0.436,3,1,0.327,0.15,0.0,0.0954,0.693,143.031,223204.0,4,86.0
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-05-20,0.817,0.44,10,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113.0,4,91.0
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-05-20,0.849,0.581,6,0,0.261,0.0178,0.0,0.092,0.274,142.015,217610.0,4,81.0
spotify:track:3xOEfEmsrLwf9jcG4gErdA,2023-05-20,0.812,0.63,2,1,0.266,0.0224,0.0,0.0699,0.332,132.957,218173.0,4,75.0
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-05-20,0.571,0.549,1,0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4,90.0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-05-20,0.843,0.669,1,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253.0,4,84.0
spotify:track:15rAPSEAcdP4wE8jBkicV6,2023-05-20,0.601,0.691,1,1,0.144,0.000472,0.0,0.128,0.242,152.018,167812.0,4,9.0
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-05-20,0.786,0.719,0,0,0.296,0.252,0.0,0.301,0.802,130.081,178950.0,4,78.0
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-05-20,0.911,0.536,4,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,203813.0,4,72.0
spotify:track:2zs3ErwfEyzI4K2H9vEnTD,2023-05-20,0.641,0.673,5,1,0.294,0.119,0.0,0.293,0.535,170.025,252706.0,4,55.0
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-05-20,0.773,0.701,7,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589.0,4,85.0
spotify:track:2f86Ae3R4OKAu1lEIqouih,2023-05-20,0.735,0.459,6,0,0.273,0.706,2.04e-06,0.101,0.583,74.052,147667.0,4,0.0
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-05-20,0.462,0.251,4,0,0.159,0.414,0.0,0.201,0.137,89.705,167977.0,3,79.0
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-05-20,0.686,0.897,11,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139.0,4,89.0
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-05-20,0.938,0.606,6,0,0.419,0.117,0.0,0.528,0.706,121.108,123673.0,4,88.0
spotify:track:2DBKeJkULv46sb1XaJKS8i,2023-05-20,0.843,0.521,9,1,0.276,0.314,0.0,0.47,0.255,112.961,172035.0,4,0.0
spotify:track:0B0Xu2ih8fWpcwyxAt1c7m,2023-05-20,0.811,0.471,1,0,0.32,0.012,0.0,0.0951,0.415,152.094,196569.0,4,76.0
spotify:track:3FhZPYvMGSjFc6boVYKlCv,2023-05-20,0.783,0.768,11,0,0.157,0.00198,0.0,0.171,0.267,143.071,124806.0,4,77.0
spotify:track:2f9JzwRy6Ofr5ixvN0ojKt,2023-05-20,0.835,0.552,11,1,0.191,0.00594,1.24e-05,0.139,0.18,105.007,146286.0,4,75.0
spotify:track:75ZoVrZ4mXEsDxv1bQbEAS,2023-05-20,0.861,0.68,11,1,0.3,0.02,0.0,0.112,0.669,155.036,143148.0,4,75.0
spotify:track:7sliFe6W30tPBPh6dvZsIH,2023-05-20,0.823,0.388,1,1,0.491,0.0187,0.0,0.0876,0.507,154.569,139326.0,4,84.0
spotify:track:4KSRdah26ypIXVNZPHmzO3,2023-05-20,0.59,0.675,2,1,0.458,0.389,0.0,0.167,0.443,178.41,129467.0,4,70.0
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-05-20,0.956,0.515,11,0,0.337,0.305,0.0,0.156,0.69,119.937,122070.0,4,85.0
spotify:track:6tEpOijHrGLidCtHeoMhlC,2023-05-20,0.847,0.632,9,1,0.265,0.184,0.0019,0.296,0.556,120.015,211130.0,4,33.0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-05-20,0.526,0.606,5,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4,90.0
spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,2023-05-20,0.898,0.676,9,1,0.187,0.14,0.0,0.101,0.742,147.991,172125.0,4,87.0
spotify:track:06eobTXs90ICbtbxhmgviZ,2023-05-20,0.976,0.682,9,0,0.0655,0.0754,0.0,0.0769,0.79,114.026,138946.0,4,78.0
spotify:track:3iRCr53b2ZOvoKMTNvBn5d,2023-05-20,0.801,0.706,1,1,0.255,0.000212,0.0,0.15,0.331,138.008,173948.0,4,72.0
spotify:track:2dSKFFNoNXKo3hPnlwUdPe,2023-05-20,0.536,0.814,1,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292.0,4,82.0
spotify:track:7pFzbZz89oXVsRxhUvO7q2,2023-05-20,0.684,0.736,1,0,0.0323,0.022,1.15e-06,0.213,0.333,140.049,187484.0,4,76.0
spotify:track:7a636g0dl8a487foiAcoCM,2023-05-20,0.739,0.639,1,0,0.185,0.615,0.0,0.103,0.603,100.039,138947.0,4,72.0
spotify:track:410ZZP746AQeiywhKvXWCo,2023-05-20,0.481,0.797,6,0,0.201,0.404,0.0,0.368,0.495,96.237,206050.0,3,84.0
spotify:track:451acSEXA7pfbMKXoC6vJX,2023-05-20,0.799,0.459,10,0,0.202,0.269,4.46e-06,0.113,0.349,142.962,149385.0,4,69.0
spotify:track:6w9GrSUaQQIaMBYtabge7p,2023-05-20,0.861,0.496,4,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693.0,4,78.0
spotify:track:7qAwnjc2qPbpK1gB4VRwXW,2023-05-20,0.517,0.571,1,0,0.124,0.074,0.0,0.0982,0.428,144.745,173379.0,4,72.0
spotify:track:0oWL7FTlaA1YtsRRuiF4Xs,2023-05-20,0.752,0.687,1,0,0.095,0.0171,0.0,0.127,0.266,151.974,134667.0,4,73.0
spotify:track:4EgZqNfwsDJ1HvvSMEXypp,2023-05-20,0.821,0.639,10,0,0.161,0.0843,0.0,0.202,0.175,138.08,168857.0,4,70.0
spotify:track:7l6nGz4gp6HGs5Cvmdeqe4,2023-05-20,0.634,0.538,0,1,0.0603,0.0514,0.0,0.099,0.152,168.029,160714.0,5,79.0
spotify:track:0judK8TqYfvwUohBngUxrE,2023-05-20,0.706,0.648,8,1,0.324,0.505,0.0,0.215,0.802,77.533,161041.0,4,81.0
spotify:track:2OZfJcpzSFApBxUA0gXuJz,2023-05-20,0.807,0.681,1,1,0.345,0.507,0.0,0.283,0.571,98.173,100424.0,4,78.0
