uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:1IzJxbARcQrOWMZgPw1PNj,2023-05-06,0.849,0.581,6,0,0.261,0.0178,0.0,0.092,0.274,142.015,217610.0,4,56.0
spotify:track:3xOEfEmsrLwf9jcG4gErdA,2023-05-06,0.812,0.63,2,1,0.266,0.0224,0.0,0.0699,0.332,132.957,218173.0,4,30.0
spotify:track:7aRCf5cLOFN1U7kvtChY1G,2023-05-06,0.817,0.44,10,0,0.0734,0.0603,1.42e-06,0.33,0.544,142.024,272113.0,4,91.0
spotify:track:3FhZPYvMGSjFc6boVYKlCv,2023-05-06,0.783,0.768,11,0,0.157,0.00198,0.0,0.171,0.267,143.071,124806.0,4,29.0
spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,2023-05-06,0.938,0.606,6,0,0.419,0.117,0.0,0.528,0.706,121.108,123673.0,4,88.0
spotify:track:4mWbFYZ9P14Ulf1LIFZGhH,2023-05-06,0.786,0.719,0,0,0.296,0.252,0.0,0.301,0.802,130.081,178950.0,4,78.0
spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,2023-05-06,0.571,0.549,1,0,0.404,0.18,0.0,0.168,0.447,119.497,194787.0,4,90.0
spotify:track:52NGJPcLUzQq5w7uv4e5gf,2023-05-06,0.843,0.669,1,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,238253.0,4,84.0
spotify:track:0FA4wrjDJvJTTU8AepZTup,2023-05-06,0.686,0.897,11,0,0.0386,0.0103,0.103,0.153,0.355,129.975,163139.0,4,89.0
spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,2023-05-06,0.773,0.701,7,1,0.0512,0.01,0.0,0.163,0.203,129.963,214589.0,4,84.0
spotify:track:1T4k0sw0HldDg004Kw4Oct,2023-05-06,0.462,0.251,4,0,0.159,0.414,0.0,0.201,0.137,89.705,167977.0,3,78.0
spotify:track:7oLKoGzQVwjZ91AzCn560T,2023-05-06,0.956,0.515,11,0,0.337,0.305,0.0,0.156,0.69,119.937,122070.0,4,85.0
spotify:track:4n5vrfS3mYdxiEz0ODBnlL,2023-05-06,0.865,0.713,1,1,0.371,0.133,0.0,0.292,0.918,155.081,124355.0,4,19.0
spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,2023-05-06,0.898,0.676,9,1,0.187,0.14,0.0,0.101,0.742,147.991,172125.0,4,86.0
spotify:track:72vMwCjJuRRa1r0bhFBbE1,2023-05-06,0.938,0.613,11,0,0.22,0.0312,0.000162,0.0982,0.275,99.938,128667.0,4,70.0
spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,2023-05-06,0.526,0.606,5,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,182667.0,4,90.0
spotify:track:1KUZ33cOqk3X4Ezk0aZnVp,2023-05-06,0.911,0.536,4,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,203813.0,4,65.0
spotify:track:2f9JzwRy6Ofr5ixvN0ojKt,2023-05-06,0.835,0.552,11,1,0.191,0.00594,1.24e-05,0.139,0.18,105.007,146286.0,4,74.0
spotify:track:6w9GrSUaQQIaMBYtabge7p,2023-05-06,0.861,0.496,4,0,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693.0,4,78.0
spotify:track:75ZoVrZ4mXEsDxv1bQbEAS,2023-05-06,0.861,0.68,11,1,0.3,0.02,0.0,0.112,0.669,155.036,143148.0,4,73.0
spotify:track:410ZZP746AQeiywhKvXWCo,2023-05-06,0.481,0.797,6,0,0.201,0.404,0.0,0.368,0.495,96.237,206050.0,3,85.0
spotify:track:2dSKFFNoNXKo3hPnlwUdPe,2023-05-06,0.536,0.814,1,1,0.306,0.0388,0.0,0.142,0.851,96.7,113292.0,4,78.0
spotify:track:5ht9obvnnWeW4eoRtPAoQD,2023-05-06,0.779,0.684,8,1,0.108,0.181,0.0,0.0691,0.526,124.034,174240.0,4,75.0
spotify:track:2eN0rxTtgxKkmVCNgizayr,2023-05-06,0.825,0.718,1,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,185001.0,4,75.0
spotify:track:1iQxvF3AQ7Bs3RTBuXqZOA,2023-05-06,0.977,0.379,1,1,0.255,0.019,0.0,0.09,0.506,126.961,151248.0,4,69.0
spotify:track:7l6nGz4gp6HGs5Cvmdeqe4,2023-05-06,0.634,0.538,0,1,0.0603,0.0514,0.0,0.099,0.152,168.029,160714.0,5,79.0
spotify:track:5BsigwhOMHxCkF6ntEhUQ5,2023-05-06,0.64,0.513,10,0,0.0642,0.000687,0.0,0.0973,0.208,132.076,233795.0,4,0.0
spotify:track:0judK8TqYfvwUohBngUxrE,2023-05-06,0.706,0.648,8,1,0.324,0.505,0.0,0.215,0.802,77.533,161041.0,4,82.0
spotify:track:2OZfJcpzSFApBxUA0gXuJz,2023-05-06,0.807,0.681,1,1,0.345,0.507,0.0,0.283,0.571,98.173,100424.0,4,75.0
spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,2023-05-06,0.696,0.733,1,1,0.256,0.115,0.0,0.111,0.292,98.355,214445.0,4,83.0
spotify:track:7sliFe6W30tPBPh6dvZsIH,2023-05-06,0.823,0.388,1,1,0.491,0.0187,0.0,0.0876,0.507,154.569,139326.0,4,75.0
spotify:track:4MUlNqSrMeFAHA6VpJKMo8,2023-05-06,0.513,0.495,1,1,0.45,0.00642,0.0,0.3,0.105,150.035,179533.0,4,75.0
spotify:track:7qAwnjc2qPbpK1gB4VRwXW,2023-05-06,0.517,0.571,1,0,0.124,0.074,0.0,0.0982,0.428,144.745,173379.0,4,72.0
spotify:track:0oWL7FTlaA1YtsRRuiF4Xs,2023-05-06,0.752,0.687,1,0,0.095,0.0171,0.0,0.127,0.266,151.974,134667.0,4,73.0
spotify:track:0B0Xu2ih8fWpcwyxAt1c7m,2023-05-06,0.811,0.471,1,0,0.32,0.012,0.0,0.0951,0.415,152.094,196569.0,4,76.0
spotify:track:4EgZqNfwsDJ1HvvSMEXypp,2023-05-06,0.821,0.639,10,0,0.161,0.0843,0.0,0.202,0.175,138.08,168857.0,4,69.0
spotify:track:451acSEXA7pfbMKXoC6vJX,2023-05-06,0.799,0.459,10,0,0.202,0.269,4.46e-06,0.113,0.349,142.962,149385.0,4,67.0
spotify:track:0T0vseuNB4KC8opkrCLNbc,2023-05-06,0.852,0.487,2,1,0.204,0.00424,2.18e-06,0.201,0.256,120.013,261825.0,4,71.0
spotify:track:4tiKQGqkoVmvshWNFDvFxG,2023-05-06,0.845,0.729,1,0,0.134,0.0956,0.0,0.116,0.299,159.958,180000.0,4,71.0
spotify:track:1HYfsZnq3EXwK7SV8tYPoT,2023-05-06,0.565,0.561,1,1,0.484,0.0241,0.0,0.499,0.448,166.707,181437.0,4,68.0
spotify:track:5VKG8ary0JW6iKemhmznzS,2023-05-06,0.778,0.646,7,1,0.0735,0.0195,2.14e-06,0.0956,0.61,81.992,106512.0,4,79.0
spotify:track:39uEuUEWsAZtozSQRPlf62,2023-05-06,0.813,0.636,7,0,0.21,0.328,0.0,0.129,0.723,140.948,152043.0,4,71.0
spotify:track:2ehLKvUsJq3EUAPpvT5GOM,2023-05-06,0.509,0.78,1,1,0.347,0.282,0.0,0.111,0.555,175.276,180359.0,4,71.0
spotify:track:31yydnZnSeCwkRPY7tlgQJ,2023-05-06,0.595,0.829,2,1,0.226,0.00594,0.000101,0.153,0.501,113.319,169893.0,5,77.0
spotify:track:2fpTRcMLt4aKlqULOwuXUP,2023-05-06,0.744,0.647,7,0,0.111,0.0204,0.000116,0.156,0.096,141.929,229800.0,4,73.0
spotify:track:4jQF77FelHaw2u1CB0sIfp,2023-05-06,0.839,0.544,9,1,0.252,0.344,0.0,0.139,0.332,113.032,101947.0,4,70.0
spotify:track:7iTTWHbr4tAlsRJN4m4bay,2023-05-06,0.851,0.642,1,1,0.216,0.0658,0.0,0.0713,0.701,143.091,148115.0,4,79.0
spotify:track:35NkPKSmtu6lCht95nukpr,2023-05-06,0.723,0.631,8,0,0.49,0.1,0.0,0.289,0.486,159.913,158971.0,4,72.0
spotify:track:1SRw5p2lVAi7RGlHEmZg66,2023-05-06,0.816,0.367,2,1,0.0588,0.314,0.0,0.0987,0.413,116.035,208630.0,4,85.0
spotify:track:6YiDVrYuJk33GKKzsVUhRE,2023-05-06,0.726,0.662,2,1,0.429,0.0578,0.0,0.113,0.282,76.633,188158.0,4,60.0
