uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-10-15,0.738,0.666,5,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789.0,4,0.0
spotify:track:6XO8RlYuJCiI0v3IA48FeJ,2022-10-15,0.645,0.525,3,0,0.0355,0.0574,0.0,0.505,0.238,83.018,108499.0,4,0.0
spotify:track:74loibzxXRL875X20kenvk,2022-10-15,0.695,0.555,5,0,0.0509,0.141,0.826,0.11,0.26,150.024,83200.0,4,75.0
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-10-15,0.855,0.478,1,1,0.345,0.145,0.0,0.101,0.536,153.074,158431.0,4,77.0
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-10-15,0.815,0.742,11,0,0.245,0.0579,0.0,0.345,0.584,137.036,182533.0,4,76.0
spotify:track:1oqXQ2ghTORGDAkeLwkIDD,2022-10-15,0.871,0.695,1,1,0.266,0.0694,0.0,0.185,0.295,129.99,131120.0,4,0.0
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-10-15,0.785,0.524,1,1,0.122,0.0123,0.0,0.365,0.0855,142.007,163454.0,4,0.0
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-10-15,0.633,0.478,8,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168.0,4,71.0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-10-15,0.586,0.689,0,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707.0,4,77.0
spotify:track:6DVJ7Aqbml1X3wGxxV5QH5,2022-10-15,0.577,0.533,5,0,0.501,0.0957,0.0,0.127,0.799,160.088,228000.0,4,72.0
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-10-15,0.808,0.644,1,1,0.329,0.0716,0.0,0.085,0.512,151.098,206968.0,4,0.0
spotify:track:5QdVpZhASstTN4BBwglPz6,2022-10-15,0.704,0.62,9,0,0.362,0.0686,0.0,0.144,0.383,157.093,244840.0,4,75.0
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-10-15,0.791,0.818,0,1,0.406,0.0695,0.0,0.114,0.693,159.922,209811.0,4,79.0
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-10-15,0.899,0.582,11,0,0.264,0.0395,0.0,0.1,0.505,149.973,283196.0,4,72.0
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-10-15,0.768,0.695,9,1,0.179,0.0301,0.0,0.235,0.41,76.007,176588.0,4,66.0
spotify:track:4chjloVr9wD7lxtCR2L4ac,2022-10-15,0.78,0.748,10,0,0.258,0.143,1.16e-06,0.21,0.676,99.082,118788.0,4,0.0
spotify:track:6w2laMOxRE0yUsbq4bVLiZ,2022-10-15,0.493,0.666,7,1,0.268,0.00256,0.0,0.0797,0.164,87.932,192727.0,5,70.0
spotify:track:23pGZ6n6Xd3yV7qK4xw7dx,2022-10-15,0.576,0.596,2,0,0.108,0.0398,0.0,0.0975,0.338,95.457,178041.0,4,73.0
spotify:track:5tzEcVk8jFSBhTrO0ZYJdZ,2022-10-15,0.908,0.606,7,1,0.227,0.0549,0.0,0.422,0.147,108.053,187202.0,4,72.0
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-10-15,0.798,0.471,8,1,0.125,0.00189,0.0,0.154,0.11,135.102,187844.0,4,69.0
spotify:track:5uVW9FWVaQde0lfF4hYs4C,2022-10-15,0.599,0.598,4,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,192428.0,4,77.0
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-10-15,0.907,0.59,5,0,0.108,0.18,0.0,0.184,0.681,134.902,199111.0,4,74.0
spotify:track:3wspfG772mi1c25JpnNOVP,2022-10-15,0.817,0.512,8,1,0.0984,0.037,0.0,0.216,0.17,130.04,166039.0,4,77.0
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-10-15,0.699,0.58,7,0,0.325,0.0754,0.0,0.0768,0.596,94.93,177074.0,4,66.0
spotify:track:0JvnmNjMnTQMRizhrKzMSO,2022-10-15,0.82,0.55,0,1,0.172,0.00795,0.0,0.11,0.391,128.027,207787.0,3,71.0
spotify:track:7pZeacKYnK4unCplCmI2qb,2022-10-15,0.799,0.696,1,1,0.134,0.211,2.46e-06,0.133,0.414,115.067,188870.0,4,71.0
spotify:track:4L1zI1GJxi0Qq38aSYmsS0,2022-10-15,0.906,0.807,2,1,0.294,0.177,0.0,0.11,0.813,96.961,158350.0,4,71.0
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-10-15,0.886,0.434,11,0,0.403,0.101,1.22e-06,0.297,0.785,147.995,136696.0,4,76.0
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-10-15,0.854,0.611,1,0,0.228,0.2,0.0,0.19,0.728,129.003,208372.0,4,70.0
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-10-15,0.802,0.42,7,0,0.13,0.229,1.87e-05,0.299,0.183,125.948,154286.0,4,0.0
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-10-15,0.819,0.651,1,1,0.169,0.00639,0.0,0.122,0.501,139.957,185786.0,4,80.0
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,2022-10-15,0.951,0.878,2,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,170977.0,4,83.0
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-10-15,0.529,0.673,0,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365.0,4,91.0
spotify:track:2mzlyJ8Gb8cFMJvfENKnJQ,2022-10-15,0.545,0.545,2,1,0.301,0.0768,0.0,0.121,0.122,163.847,105693.0,4,76.0
spotify:track:5RtOqP26S4KrWexNolBaQc,2022-10-15,0.821,0.716,9,1,0.301,0.0726,0.0,0.154,0.529,125.005,169307.0,4,74.0
spotify:track:2BJWxD8xKrDv8vneTvTIm9,2022-10-15,0.498,0.625,8,0,0.342,0.054,0.0,0.175,0.478,84.821,150000.0,4,82.0
spotify:track:0AzqJBVMdHP9ijAadQ0T18,2022-10-15,0.671,0.46,7,0,0.215,0.12,0.0,0.106,0.298,83.877,253913.0,4,70.0
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-10-15,0.718,0.461,4,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176.0,4,84.0
spotify:track:1jOgJN75btuUONIdf57vHz,2022-10-15,0.811,0.528,11,0,0.275,0.291,0.0,0.0787,0.635,166.084,104819.0,4,79.0
spotify:track:3umPlMokEzAFxJO33tNdlY,2022-10-15,0.514,0.611,4,1,0.287,0.0105,0.0,0.312,0.311,108.666,138673.0,5,70.0
spotify:track:6djtjrpnWcuOaozVb8xKXS,2022-10-15,0.778,0.664,8,0,0.35,0.0612,0.0,0.261,0.509,140.048,207306.0,4,67.0
spotify:track:6nrPRHGdz1ytpX2ZBZ4RGU,2022-10-15,0.763,0.687,6,0,0.28,0.268,0.0,0.119,0.203,131.05,135573.0,4,70.0
spotify:track:1NtyeXryylf8HWXnxVTD3v,2022-10-15,0.614,0.744,11,1,0.125,0.309,1.14e-06,0.173,0.589,146.02,226115.0,4,75.0
spotify:track:1r3qUIDhMvoTct7cxPnbdN,2022-10-15,0.766,0.661,1,1,0.0944,0.000702,0.045,0.36,0.629,169.949,172107.0,4,71.0
spotify:track:0iPb0dxCtjFcmFa2ElfBJ5,2022-10-15,0.934,0.694,9,0,0.175,0.117,0.0,0.239,0.464,129.028,182326.0,4,72.0
spotify:track:60PTOzcoFycWBICdumIsFQ,2022-10-15,0.775,0.461,7,0,0.124,0.157,0.0,0.0687,0.131,134.028,188060.0,4,76.0
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-10-15,0.86,0.69,1,1,0.185,0.096,0.0,0.162,0.331,137.01,238333.0,4,72.0
spotify:track:0oO1AbL92F6329z13C2qQH,2022-10-15,0.698,0.763,4,0,0.205,0.0873,0.0,0.647,0.252,139.939,174857.0,4,76.0
spotify:track:3gqTyw7JosxKm3eFMwOpk9,2022-10-15,0.636,0.741,1,1,0.343,0.0249,0.0,0.0852,0.627,80.836,148571.0,4,63.0
spotify:track:27ZZdyTSQWI7Cug2d2PkqV,2022-10-15,0.9,0.509,1,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,99283.0,4,89.0
