uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:0g2Bbgy7P41pFjMWJuzsf4,2022-08-06,0.72,0.46,4,0,0.08,0.07,0.0,0.28,0.18,129.95,178.18,4,0.0
spotify:track:7rQ84WsT2Wcnrz5gTmbGmw,2022-08-06,0.71,0.83,1,1,0.07,0.2,0.0,0.17,0.32,128.03,247.46,4,0.0
spotify:track:0UmMT7DNXCOJvSmXXGNG5b,2022-08-06,0.76,0.71,9,1,0.2,0.01,0.0,0.12,0.28,160.16,132.75,4,0.0
spotify:track:3GdWfmQBiiJrDUvSZS1bGv,2022-08-06,0.82,0.65,1,1,0.17,0.01,0.0,0.12,0.5,139.96,185.79,4,78.0
spotify:track:6x3gud5JkOSGYJpRUYN1Gg,2022-08-06,0.73,0.51,1,1,0.09,0.0,0.0,0.2,0.17,149.98,216.01,4,70.0
spotify:track:3F5CgOj3wFlRv51JsHbxhe,2022-08-06,0.53,0.67,0,1,0.17,0.0,0.0,0.09,0.37,165.92,218.37,4,93.0
spotify:track:1fz22sUZlpL9jZOWz02wws,2022-08-06,0.77,0.48,4,0,0.24,0.11,0.0,0.44,0.29,140.06,134.91,4,74.0
spotify:track:1oc92BMKYkNxK17C2GtyRM,2022-08-06,0.71,0.69,11,1,0.26,0.16,0.0,0.14,0.63,156.93,171.32,4,81.0
spotify:track:1dH43IEzvkRIFu6HdXWCha,2022-08-06,0.64,0.51,0,0,0.43,0.24,0.0,0.12,0.46,153.9,129.64,4,0.0
spotify:track:0QNNd0qMCDbraS1nQPg3aA,2022-08-06,0.82,0.64,11,1,0.17,0.14,0.0,0.23,0.16,127.96,142.66,4,82.0
spotify:track:1YWE7cMqo4iVNdPTpH4Khj,2022-08-06,0.71,0.69,5,0,0.27,0.04,0.0,0.12,0.54,146.97,173.19,4,74.0
spotify:track:02Cj2MSlERvamTj5A7Zi0P,2022-08-06,0.83,0.64,10,0,0.41,0.03,0.0,0.11,0.23,155.1,173.42,4,76.0
spotify:track:7N17JE5sPConOSeEIC5AnS,2022-08-06,0.82,0.73,1,1,0.16,0.03,0.0,0.06,0.76,134.98,192.14,4,69.0
spotify:track:32ny2YtiR7zKi7PBjiQ5Iy,2022-08-06,0.79,0.71,5,0,0.07,0.13,0.0,0.11,0.19,138.03,183.19,4,77.0
spotify:track:5qgFgsrrxOjyPmX5YCuK2E,2022-08-06,0.88,0.66,8,1,0.3,0.06,0.0,0.13,0.28,124.99,172.93,4,76.0
spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,2022-08-06,0.87,0.3,2,1,0.39,0.2,0.0,0.08,0.18,77.47,161.35,4,79.0
spotify:track:30vAfL9Wyu2fu07vdbZ1Xt,2022-08-06,0.94,0.5,1,1,0.41,0.03,0.0,0.11,0.36,138.02,146.73,4,77.0
spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,2022-08-06,0.77,0.71,11,1,0.06,0.01,0.0,0.3,0.11,76.98,236.19,4,79.0
spotify:track:5gcsJvWzuPMeJBQYdiO0RS,2022-08-06,0.67,0.58,2,1,0.23,0.09,0.0,0.1,0.12,111.55,177.73,3,73.0
spotify:track:60PTOzcoFycWBICdumIsFQ,2022-08-06,0.78,0.46,7,0,0.12,0.16,0.0,0.07,0.13,134.03,188.06,4,71.0
spotify:track:5EeFkn825wcD3q2Tkk2vCu,2022-08-06,0.67,0.63,11,0,0.12,0.11,0.0,0.35,0.13,129.96,228.92,3,66.0
spotify:track:0ehikRZdaCWkqg5gd8ilMJ,2022-08-06,0.86,0.69,1,1,0.18,0.1,0.0,0.16,0.33,137.01,238.33,4,68.0
spotify:track:2aOG6jVZnTqZwEhjGTcFMM,2022-08-06,0.82,0.62,0,1,0.07,0.0,0.0,0.09,0.19,140.08,180.08,4,0.0
spotify:track:6ws54n2IzyrIxxyzlG2bVJ,2022-08-06,0.54,0.62,2,1,0.38,0.02,0.0,0.1,0.21,165.99,213.98,4,80.0
spotify:track:0oPpchtgx4hZ2J246g5mqn,2022-08-06,0.77,0.6,0,1,0.17,0.42,0.0,0.12,0.55,82.06,141.17,4,0.0
spotify:track:6Bl1k7SZTP5gkfLPjkIwtx,2022-08-06,0.79,0.64,2,1,0.34,0.04,0.0,0.32,0.43,79.99,231.09,4,70.0
spotify:track:1QPreu0BNOrUfEb8HTd2qG,2022-08-06,0.85,0.42,10,0,0.21,0.43,0.0,0.11,0.46,95.98,202.28,4,81.0
spotify:track:3LtpKP5abr2qqjunvjlX5i,2022-08-06,0.91,0.57,6,1,0.29,0.38,0.0,0.4,0.97,140.04,97.39,4,89.0
spotify:track:6JbrcjoMVBBNZllVOiHBcU,2022-08-06,0.77,0.55,1,1,0.09,0.03,0.0,0.11,0.09,137.93,160.03,4,70.0
spotify:track:0b7UwotRCrS7qBoLDjfvSY,2022-08-06,0.82,0.58,1,1,0.15,0.0,0.0,0.27,0.15,147.5,235.5,4,75.0
spotify:track:4ur8qEgQgCCZaD1Jf4XRMF,2022-08-06,0.62,0.53,2,1,0.05,0.06,0.0,0.15,0.36,170.04,180.71,4,70.0
spotify:track:3uJFmluXzYedoJcvhpC1AW,2022-08-06,0.88,0.69,9,1,0.23,0.0,0.0,0.08,0.52,157.0,211.65,4,83.0
spotify:track:5ZWNnO9MyPfGrUHiGWHESB,2022-08-06,0.84,0.72,1,0,0.26,0.01,0.0,0.1,0.67,146.98,173.06,4,74.0
spotify:track:1vrFJDrysqmsNAgyjBzx4f,2022-08-06,0.86,0.48,1,1,0.44,0.04,0.0,0.37,0.65,157.14,137.58,4,73.0
spotify:track:1HVVrtjLvEQx8oinUYI5Nv,2022-08-06,0.47,0.55,5,0,0.29,0.08,0.0,0.31,0.19,97.89,235.2,4,65.0
spotify:track:5HN3ikspb1MOyJ0MMjn55I,2022-08-06,0.78,0.51,1,1,0.35,0.01,0.0,0.12,0.39,159.99,173.99,4,67.0
spotify:track:62tDpymKVSXEu0W3d4AMr9,2022-08-06,0.82,0.9,1,1,0.13,0.09,0.0,0.11,0.35,154.99,171.83,4,71.0
spotify:track:6EbVuwU7EnKeF2hdpViXCH,2022-08-06,0.81,0.58,11,1,0.34,0.83,0.0,0.11,0.68,77.47,148.82,4,85.0
spotify:track:3EMp20j5E42MxfFbsEsIvD,2022-08-06,0.71,0.52,11,1,0.36,0.61,0.0,0.11,0.37,96.45,309.33,4,81.0
